CATEGORY	BIBTEXKEY	ADDRESS	ANNOTE	AUTHOR	TITLE	TITLE_TRANSLATION	BOOKTITLE	BOOKTITLE_TRANSLATION	CHAPTER	CROSSREF	EDITION	EDITOR	HOWPUBLISHED	INSTITUTION	JOURNAL	KEY	MONTH	NOTE	NUMBER	ORGANIZATION	PAGES	PUBLISHER	SCHOOL	SERIES	TYPE	VOLUME	YEAR	URL	ISBN	VERSION	DOI	ISSUE	CONTRIBUTOR	COMMENT
book	talibov07	Moscow		Талибов, Букар Б.	Будухский язык	Budukh																Academia					2007						George Moroz	
book	forker13	Berlin/Boston		Forker, D.	A grammar of {H}inuq																	De Gruyter Mouton					2013						George Moroz	
incollection	moroz19			Moroz, George	Phonology of {M}ehweb		The {M}ehweb language. {E}ssays on phonology, morphology and syntax					Daniel, Michael and Dobrushina, Nina and Ganenkov, Dmitry									17--39	Language Science Press					2019						George Moroz	
incollection	kibrik1994a	Delmar, NY		Kibrik, Aleksandr E.	Archi		Indigenious languages of the Caucasus					Smeets, Rieks									297--365	Caravan Press					1994						George Moroz	
phdthesis	khalilova09			Khalilova, Zaira	A grammar of {K}hwarshi																		Leiden University				2009						George Moroz	
incollection	belyayev21	Moscow		Беляев, Олег И.	Два типа фарингализации в ширинском даргинском: предварительные наблюдения	Two types of pharyngealization in Shiri Dargwa: first results	Дурхъаси хазна. Сборник статей к 60-летию Р. О. Муталова					Majsak, T. A. and Sumbatova, N. R. and Testelec, Ja. G.									18--29	Буки Веди					2021						George Moroz	
