CATEGORY	BIBTEXKEY	ADDRESS	ANNOTE	AUTHOR	TITLE	TITLE_TRANSLATION	BOOKTITLE	BOOKTITLE_TRANSLATION	CHAPTER	CROSSREF	EDITION	EDITOR	HOWPUBLISHED	INSTITUTION	JOURNAL	KEY	MONTH	NOTE	NUMBER	ORGANIZATION	PAGES	PUBLISHER	SCHOOL	SERIES	TYPE	VOLUME	YEAR	URL	ISBN	VERSION	DOI	ISSUE
article	kibrik82	NA	NA	Kibrik, A. E., Bergelʹson, MB and Bogatyrev, KK and Boguslavskaja, OJu and Zalizniak, Anna A. and and Kodzasov, SV and Muravʹeva, IA and Plungian, Vladimir A. and Rakhilina, Ekaterina  V.	Tabasaranskie étjudy	NA	Tabasaranskie étjudy	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Izdatelʹstvo Moskvoskgo gosudarstvennogo universiteta	NA	NA	NA	NA	1982	NA	NA	NA	NA	NA
article	mudrak19	Moscow	NA	Mudrak, Oleg Alekseevič	Avarskie osnovy	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Jazyki Narodov Mira	NA	NA	NA	NA	2019	NA	NA	NA	NA	NA
article	mudrak20	Moscow	NA	Mudrak, Oleg Alekseevič	Andijskie osnovy	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Jazyki Narodov Mira	NA	NA	NA	NA	2020	NA	NA	NA	NA	NA
article	gigineyshvili77	NA	NA	Giginejšvili, B. K.	Sravnitelʹnaja fonetika dagestanskix jazykov	NA	NA	NA	NA	NA	NA	NA	NA	NA	Tbilisi: Izdatelʹstvo Tbilisskogo universiteta	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1977	NA	NA	NA	NA	NA
article	aslanov74	NA	NA	Aslanov, A. M.	Iberijsko-kavkazskie abruptivy v zakatalʹsko-kaxskix govorax azerbajdžanskogo jazyka	NA	NA	NA	NA	NA	NA	NA	NA	NA	Ežegodnik iberijsko-kavkazskogo jazykoznanija	NA	NA	NA	NA	NA	224--228	Akademija nauk GSSR	NA	NA	NA	1	1974	NA	NA	NA	NA	NA
article	akiev77	Makhachkala	NA	Akiev, A. Š.	Istoriko-sravnitelʹnaja fonetika darginskogo i lakskogo jazykov: {S}istema konsonantizma	NA	NA	NA	NA	NA	NA	NA	NA	NA	Dagučpedgiz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1977	NA	NA	NA	NA	NA
article	cho99	Makhachkala	NA	Cho, T. and Ladefoged, P.	Variation and universals in {VOT}: evidence from 18 languages	NA	NA	NA	NA	NA	NA	NA	NA	NA	Journal of Phonetics	NA	NA	NA	NA	NA	207--229	NA	NA	NA	NA	27	1999	NA	NA	NA	NA	2
article	esling96	NA	NA	Esling, J. H.	Pharyngeal consonants and the aryepiglottic sphincter	NA	NA	NA	NA	NA	NA	NA	NA	NA	Journal of the international phonetic association	NA	NA	NA	2	NA	65--88	Cambridge University Press	NA	NA	NA	26	1996	NA	NA	NA	NA	NA
article	esling05	NA	NA	Esling, J. H.	There are no back vowels: {T}he larygeal articulator model	NA	NA	NA	NA	NA	NA	NA	NA	NA	Canadian Journal of Linguistics/Revue canadienne de linguistique	NA	NA	NA	1-4	NA	13--44	Cambridge University Press	NA	NA	NA	50	2005	NA	NA	NA	NA	NA
book	phoible	Leipzig	NA	NA	PHOIBLE {O}nline	NA	NA	NA	NA	NA	NA	Moran, Steven and McCloy, Daniel and Wright, Richard	NA	NA	NA	NA	NA	NA	NA	NA	NA	Max Planck Institute for Evolutionary Anthropology	NA	NA	NA	NA	2014	http://phoible.org/	NA	NA	NA	NA
