CATEGORY	BIBTEXKEY	AUTHOR	AUTHOR_old	TITLE	YEAR	TITLE_TRANSLATION	PUBLISHER	ADDRESS	PAGES	BOOKTITLE	BOOKTITLE_TRANSLATION	EDITOR	EDITOR_old	HOWPUBLISHED	JOURNAL	VOLUME	NUMBER	SCHOOL	NOTE	URL	CONTRIBUTOR	COMMENT	correction_notes
incollection	booij1995	Booij, G. E.		The phonology of Dutch	1995		Clarendon Press	Oxford	7	The phonology of the world's languages													
book	shiralievsevortyan1971	Ширалиев, Мамедага Ш. and Севортян, Эрванд В.		Грамматика азербайджанского языка (фонетика, морфология, синтаксис)	1971	Azerbaijani grammar (phonetics, morphology, syntax)	Элм	Baku	16-26														
incollection	reichard1951	Reichard, Gladys A.		Navaho Grammar	1951		J. J. Augustin Publisher	New York	16-17	Publications of the American Ethnological Society						XXI							
book	abdullaevaetal2014	Абдуллаева, Айшат З. and Гаджиахмедов, Нурмагомед Э. and Кадыраджиев, Калсын С. and Керимов, Ибрагим А. and Ольмесов, Нурмагомед Х. and Хангишиев, Джангиши М.		Современный кумыкский язык	2014	Contemporary Kumyk	ИЯЛИ	Makhachkala															
