CATEGORY	BIBTEXKEY	AUTHOR	TITLE	YEAR	TITLE_TRANSLATION	PUBLISHER	ADDRESS	PAGES	BOOKTITLE	BOOKTITLE_TRANSLATION	EDITOR	JOURNAL	NOTE	NUMBER	SCHOOL	URL	VOLUME	CONTRIBUTOR	COMMENT
book	bonavia2013	Bonavia, Duccio	Maize. Origin, domestication and its role in the development of culture	2013		Cambridge University Press	Cambridge												
book	erckert1895	von Erckert, Roderich	Die Sprachen des kaukasischen Stammes. I Theil: Wörterverzeichnis	1895		Alfred Hölder	Wien												
article	danieletal2021	Daniel, Michael and Chechuro, Ilia and Verhees, Samira and Dobrushina, Nina	Lingua francas as lexical donors: evidence from Daghestan	2021				520-560				Language		3			97		
book	guldenstadt1791	Güldenstädt, Johann Anton	D. Johann Anton Güldenstädt, Rußisch-Kayserl. Akademikers und Profeßors der Naturgeschichte auch der Churfürstl. Maynzischen und der Berliner Naturforschenden, wie auch der St. Peterburgischen ökonomischen Gesellschaft Mitgliedes, Reisen durch Rußland und im Caucasischen Gebürge: Zweyter Theil.	1791		Kayserlichen Akademie der Wissenschaften	St. Petersburg									https://www.digitale-sammlungen.de/de/view/bsb11450090?page=%2C1			
article	vagapov2022	Вагапов, А.Д.	Этимология для этнографии	2022	Etymology for ethnography			25-41				Вестник Института развития чеченского языка и истории					19		
book	acharyan1979	Acharyan, Hrachya	Hayeren armatakan bararan	1979	Etymological dictionary of Armenian. Volume 4	Yerevan University Press	Yerevan												
