CATEGORY	BIBTEXKEY	ADDRESS	ANNOTE	AUTHOR	TITLE	TITLE_TRANSLATION	BOOKTITLE	BOOKTITLE_TRANSLATION	CHAPTER	CROSSREF	EDITION	EDITOR	HOWPUBLISHED	INSTITUTION	JOURNAL	KEY	MONTH	NOTE	NUMBER	ORGANIZATION	PAGES	PUBLISHER	SCHOOL	SERIES	TYPE	VOLUME	YEAR	URL	ISBN	VERSION	DOI	ISSUE	CONTRIBUTOR	COMMENT
article	esling96			Esling, J. H.	Pharyngeal consonants and the aryepiglottic sphincter										Journal of the international phonetic association				2		65--88	Cambridge University Press				26	1996						George Moroz	
article	esling05			Esling, J. H.	There are no back vowels: {T}he larygeal articulator model										Canadian Journal of Linguistics/Revue canadienne de linguistique				1-4		13--44	Cambridge University Press				50	2005						George Moroz	
incollection	belyayev21	Moscow		Беляев, Олег И.	Два типа фарингализации в ширинском даргинском: предварительные наблюдения	Two types of pharyngealization in Shiri Dargwa: first results	Дурхъаси хазна. Сборник статей к 60-летию Р. О. Муталова					Majsak, T. A. and Sumbatova, N. R. and Testelec, Ja. G.									18--29	Буки Веди					2021						George Moroz	
incollection	colarusso13	Munich		Colarusso, J.	The {T}ypology of {G}utturals		Base Articulatoire Arrière: Backing and Backness					Jean L{\'e}o L{\'e}onard and Samia Naïm									93--109	LINCOM Europa					2013						George Moroz	
incollection	catford83	San Diego, CA		Catford, J. C.	Pharyngeal and laryngeal sounds in {C}aucasian languages		Vocal Fold Physiology: Contemporary Research and Clinical Issues					Bless, D. M. and Abbs, J. H.									344--350	College Hill Press					1983						George Moroz	
incollection	kodzasov86	Makhachkala		Kodzasov, S. V.	Faringo-laringalʹnoe suženie v dagestanskix jazykax		Актуальные проблемы дагестанско-нахского языкознания					Klimov, G. A.									344--350	Dag. fil. AN SSSR					1986						George Moroz	
inproceedings	kodzasov87	Tallinn		Kodzasov, S. V.	Pharyngeal features in the {D}aghestan languages		Proceedings of the XIth International Congress of Phonetic Sciences														142--144	Acad. of Sciences of the Est. S.S.R.				2	1987						George Moroz	
inproceedings	arkhipov19	Canberra		Arkhipov, A. and Daniel, M. and Belyaev, O. and Moroz, G. and Esling, J. H.	A reinterpretation of lower-vocal-tract articulations in {C}aucasian languages		Proceedings of the 19th International Congress of Phonetic Sciences, Melbourne, Australia 2019														5--9	Australasian Speech Science and Technology Association Inc.					2019						George Moroz	
