CATEGORY	BIBTEXKEY	ADDRESS	ANNOTE	AUTHOR	TITLE	TITLE_TRANSLATION	BOOKTITLE	BOOKTITLE_TRANSLATION	CHAPTER	CROSSREF	EDITION	EDITOR	HOWPUBLISHED	INSTITUTION	JOURNAL	KEY	MONTH	NOTE	NUMBER	ORGANIZATION	PAGES	PUBLISHER	SCHOOL	SERIES	TYPE	VOLUME	YEAR	URL	ISBN	VERSION	DOI	ISSUE	CONTRIBUTOR	COMMENT
book	kibrik82			Kibrik, A. E. and Bergelʹson, M. B. and Bogatyrev, K. K. and Boguslavskaja, O. Ju. and Zalizniak, Anna A. and Kodzasov, S. V. and Muravʹeva, I. A. and Plungian, Vladimir A. and Rakhilina, Ekaterina  V.	Tabasaranskie étjudy		Tabasaranskie étjudy															Izdatelʹstvo Moskvoskgo gosudarstvennogo universiteta					1982						George Moroz	
book	kk90	Moscow		Кибрик, Александр Е. and Кодзасов, Сандро В.	Сопоставительное изучение дагестанских языков. Имя. Фонетика	A comparative study of Daghestanian languages. Noun. Phonetics																Издательство Академии наук СССР				2	1990						George Moroz	
book	talibov07	Moscow		Талибов, Букар Б.	Будухский язык	Budukh																Academia					2007						George Moroz	
inproceedings	catford72			Catford, J. C.	Labialisation in {C}ausasian {L}anguages, with special reference to {A}bkhaz		Proceedings of the Seventh International Congress of Phonetic Sciences													De Gruyter Mouton	679--682						1972						George Moroz	
