CATEGORY	BIBTEXKEY	AUTHOR	AUTHOR_old	TITLE	YEAR	TITLE_TRANSLATION	PUBLISHER	ADDRESS	PAGES	BOOKTITLE	BOOKTITLE_TRANSLATION	EDITOR	EDITOR_old	HOWPUBLISHED	JOURNAL	VOLUME	NUMBER	SCHOOL	NOTE	URL	CONTRIBUTOR	COMMENT	correction_notes
incollection	catford1972	Catford, J. C.		Labialisation in Causasian Languages, with special reference to Abkhaz	1972		De Gruyter Mouton		679–682	Proceedings of the Seventh International Congress of Phonetic Sciences													
book	kibriketal1982	Kibrik, A. E., Bergelʹson, M. B., Bogatyrev, K. K., Boguslavskaja, O. Ju., Zalizniak, Anna A., Kodzasov, S. V., Muravʹeva, I. A., Plungian, Vladimir A., Rakhilina, Ekaterina V.		Табасаранские этюды	1982	Tabasaranskie étjudy	Izdatelʹstvo Moskvoskgo gosudarstvennogo universiteta.	Moscow	7-8														
book	kibrikkodzasov1990	Kibrik, Aleksandr E., Kodzasov, Sandro V.		Sopostavitelʹnoe izučenie dagestanskix jazykov. Imja. Fonetika	1990	A comparative study of Daghestanian languages. Noun. Phonetics	Izdatelʹstvo Akademii nauk SSSR	Moscow	337-338							2							
book	starostin1994	S. A. Starostin, S. L. Nikolayev		A North Caucasian Etymological Dictionary	1994		Asterisk Publishers	Moscow				S. A. Starostin											
