CATEGORY	BIBTEXKEY	ADDRESS	ANNOTE	AUTHOR	TITLE	TITLE_TRANSLATION	BOOKTITLE	BOOKTITLE_TRANSLATION	CHAPTER	CROSSREF	EDITION	EDITOR	HOWPUBLISHED	INSTITUTION	JOURNAL	KEY	MONTH	NOTE	NUMBER	ORGANIZATION	PAGES	PUBLISHER	SCHOOL	SERIES	TYPE	VOLUME	YEAR	URL	ISBN	VERSION	DOI	ISSUE	CONTRIBUTOR	COMMENT
book	talibov07	Moscow	NA	Талибов, Букар Б.	Будухский язык	Budukh	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Academia	NA	NA	NA	NA	2007	NA	NA	NA	NA	NA	George Moroz	NA
book	forker13	Berlin/Boston	NA	Forker, D.	A grammar of {H}inuq	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	De Gruyter Mouton	NA	NA	NA	NA	2013	NA	NA	NA	NA	NA	George Moroz	NA
incollection	moroz19	NA	NA	Moroz, George	Phonology of {M}ehweb	NA	The {M}ehweb language. {E}ssays on phonology, morphology and syntax	NA	NA	NA	NA	Daniel, Michael and Dobrushina, Nina and Ganenkov, Dmitry	NA	NA	NA	NA	NA	NA	NA	NA	17--39	Language Science Press	NA	NA	NA	NA	2019	NA	NA	NA	NA	NA	George Moroz	NA
incollection	kibrik1994a	Delmar, NY	NA	Kibrik, Aleksandr E.	Archi	NA	Indigenious languages of the Caucasus	NA	NA	NA	NA	Smeets, Rieks	NA	NA	NA	NA	NA	NA	NA	NA	297--365	Caravan Press	NA	NA	NA	NA	1994	NA	NA	NA	NA	NA	George Moroz	NA
phdthesis	khalilova09	NA	NA	Khalilova, Zaira	A grammar of {K}hwarshi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Leiden University	NA	NA	NA	2009	NA	NA	NA	NA	NA	George Moroz	NA
incollection	belyayev21	Moscow	NA	Беляев, Олег И.	Два типа фарингализации в ширинском даргинском: предварительные наблюдения	Two types of pharyngealization in Shiri Dargwa: first results	Дурхъаси хазна. Сборник статей к 60-летию Р. О. Муталова	NA	NA	NA	NA	Majsak, T. A. and Sumbatova, N. R. and Testelec, Ja. G.	NA	NA	NA	NA	NA	NA	NA	NA	18--29	Буки Веди	NA	NA	NA	NA	2021	NA	NA	NA	NA	NA	George Moroz	NA
