CATEGORY	BIBTEXKEY	AUTHOR	TITLE	YEAR	TITLE_TRANSLATION	PUBLISHER	ADDRESS	PAGES	BOOKTITLE	BOOKTITLE_TRANSLATION	EDITOR	JOURNAL	VOLUME	NUMBER	SCHOOL	NOTE	URL	CONTRIBUTOR	date_added	COMMENT	correction_notes
incollection	françois2008	François, Alexandre	Semantic maps and the typology of colexification: Intertwining polysemous networks across languages	2008		John Benjamins		163--215	From Polysemy to Semantic change: Towards a Typology of Lexical Semantic Associations		Vanhove, Martine 										
incollection	khalilov2023f	Khalilov, Madzhid	Karata (Tokitin dialect) dictionary	2023		Max Planck Institute for Evolutionary Anthropology	Leipzig		The Intercontinental Dictionary Series		Key, Mary Ritchie and Comrie, Bernard						http://ids.clld.org/contributions/40				
misc	keycomrie		The Intercontinental Dictionary Series	2023		Max Planck Institute for Evolutionary Anthropology	Leipzig				Key, Mary Ritchie and Comrie, Bernard						http://ids.clld.org/				
