CATEGORY	BIBTEXKEY	ADDRESS	ANNOTE	AUTHOR	TITLE	TITLE_TRANSLATION	BOOKTITLE	BOOKTITLE_TRANSLATION	CHAPTER	CROSSREF	EDITION	EDITOR	HOWPUBLISHED	INSTITUTION	JOURNAL	KEY	MONTH	NOTE	NUMBER	ORGANIZATION	PAGES	PUBLISHER	SCHOOL	SERIES	TYPE	VOLUME	YEAR	URL	ISBN	VERSION	DOI	ISSUE
BOOK	smeets94b				The indigenous languages of the {C}aucasus		The indigenous languages of the {C}aucasus					Smeets, R.										Caravan Books				4	1994					
BOOK	koryakov21	Berlin/New York			Handbook of {C}aucasian {L}anguages		Handbook of {C}aucasian {L}anguages					Koryakov, Yu. and Maisak, T.										De Gruyter Mouton				2	Fort					
BOOK	yihui18	Boca Raton, Florida		Yihui Xie and J.J. Allaire and Garrett Grolemund	R {M}arkdown: {T}he {D}efinitive {G}uide		R {M}arkdown: {T}he {D}efinitive {G}uide											ISBN 9781138359338				Chapman and Hall/CRC					2018	https://bookdown.org/yihui/rmarkdown				
BOOK	kibrik01	Moscow		Кибрик, Александр Е. and Лютикова, Екатерина А. and Татевосов, Сергей Г.	Багвалинский язык. Грамматика, тексты, словари	The Bagvalal language. Grammar, texts, dictionaries																Наследие					2001					
BOOK	magomedbekova71	Tbilisi		Магомедбекова, Загидат М.	Каратинский язык	Karata 																Мецниереба					1971					
BOOK	wickham16			Hadley Wickham	ggplot2: {E}legant {G}raphics for {D}ata {A}nalysis																	Springer-Verlag New York					2016	https://ggplot2.tidyverse.org	978-3-319-24277-4			
BOOK	hewitt04			Hewitt, George	Introduction to the {S}tudy of the {L}anguages of the {C}aucasus																	Lincom					2004					
BOOK	talibov07	Moscow		Талибов, Букар Б.	Будухский язык	Budukh																Academia					2007					
BOOK	ardoteli09			Ardoteli, Nodar	Xunjuri-andiuri-didouri enat'a istoriul-{\v{s}}edarebit'i p'onetika																	Gamomc'emloba Universali					2009					
BOOK	gudava64			Gudava, Togo Evstafʹevič	Konsonantizm andijskix jazykov: istoriko-sravnitelʹnyj analiz																	Izd-vo Akademii nauk Gruzinskoj SSR					1964					
BOOK	bokarev81			Bokarev, Evgenij Alekseevič	Sravnitelʹno-istoričeskaja fonetika vostočnokavkazskix jazykov																	Nauka					1981					
BOOK	bokarev60			Bokarev, Evgenij Alekseevič	Osnovnye voprosy istoričeskoj fonetiki dagestanskix jazykov																	Izdatelʹstvo vostočnoj literatury					1960					
BOOK	dmitriyev40			Dmitriev, N. K.	Grammatika kumykskogo jazyka																	AN SSSR					1940					
BOOK	abaev64	Bloomington		Abaev, V. I.	A grammatical sketch of {O}ssetic																	Indiana Univesrity Press					1964					
BOOK	imnayshvili77			Imnajšvili, D. S.	Istoriko-sravnitelʹnyj analiz fonetiki naxskix jazykov																	Mecniereba					1977					
BOOK	nikolayev94			Nikolayev, S. L. and Starostin, S. A.	A {N}orth {C}aucasian etymological dictionary																	Asterisk Press					1994					
BOOK	talibov80			Talibov, B. B.	Sravnitelʹnaja fonetika lezginskix jazykov																	Nauka					1980					
BOOK	forker13			Forker, D.	A grammar of {H}inuq																	De Gruyter Mouton					2013					
BOOK	fenwick11			Fenwick, R. S. H.	A grammar of {U}bykh																	Lincom Europa					2011					
BOOK	catford77	Edinburgh		Catford, J. C.	Fundamental {P}roblems in {P}honetics																	Edinburgh University Press					1977					
DATASET	moroz20_villages			Moroz, George and Verhees, Samira	East {C}aucasian villages dataset												may					Zenodo					2020	https://doi.org/10.5281/zenodo.3824151		v1.0	10.5281/zenodo.3824151	
INCOLLECTION	wals-1	Leipzig		Ian Maddieson	Consonant {I}nventories		The World Atlas of Language Structures Online					Matthew S. Dryer and Martin Haspelmath										Max Planck Institute for Evolutionary Anthropology					2013	https://wals.info/Chapter/1				
INCOLLECTION	moroz19			Moroz, George	Phonology of {M}ehweb		The {M}ehweb language. {E}ssays on phonology, morphology and syntax					Daniel, Michael and Dobrushina, Nina and Ganenkov, Dmitry									17--39	Language Science Press					2019					
INCOLLECTION	begus21			Beguš, Gašper	Segmental {P}honetics and {P}honology		The Oxford handbook of languages of the Caucasus					Polinsky, Maria									1--40	Language Science Press					2021					
INCOLLECTION	boris21a			Boris, Lena	Word stress in the languages of the {C}aucasus		The Oxford handbook of languages of the Caucasus					Polinsky, Maria									1--30	Language Science Press					2021					
INCOLLECTION	boris21b			Boris, Lena	Tone and {I}ntonation in {L}anguages of the {C}aucasus		The Oxford handbook of languages of the Caucasus					Polinsky, Maria									1--30	Oxford University Press					2021					
INCOLLECTION	grawunder17			Grawunder, S.	The {C}aucasus		Handbook of areal linguistics					HicKey, R.									356--395	Cambridge University Press					2017					
INCOLLECTION	alexeyev21	Berlin/New York		Alexeyev, M. and Verhees, S.	Botlikh							Koryakov, Yu. and Maisak, T.										De Gruyter Mouton				2	Fort					
INCOLLECTION	moroz21	Berlin/New York		Moroz, G. and Naccarato, C. and Verhees, S.	Godoberi							Koryakov, Yu. and Maisak, T.										De Gruyter Mouton				2	Fort					
INCOLLECTION	belyayev21			Беляев, Олег И.	Два типа фарингализации в ширинском даргинском: предварительные наблюдения	Two types of pharyngealization in Shiri Dargwa: first results	???					Majsak, T. A. and Sumbatova, N. R. and Testelec, Ja. G.									18--29						2021					
INCOLLECTION	kibrik1994a	Delmar, NY		Kibrik, Aleksandr E.	Archi		???					Smeets, Rieks									297--365	Caravan Press					1994					
INCOLLECTION	nichols03			Nichols, Johanna	The {N}akh-{D}aghestanian consonant correspondences		The {N}akh-{D}aghestanian consonant correspondences					Dee Ann Holisky and Kevin Tuite									207--265	John Benjamins Publication Company					1994					
INCOLLECTION	colarusso13	Munich		Colarusso, J.	The {T}ypology of {G}utturals		The {T}ypology of {G}utturals					"Jean L{\'e}o L{\'e}onard and Samia Na{\""""i}m"									93--109	LINCOM Europa					2013					
INCOLLECTION	grawunder10	Berlin		Grawunder, S. and Simpson, A. and Khalilov, M.	Phonetic characteristics of ejectives - samples from {C}aucasian languages		??					"Jean L{\'e}o L{\'e}onard and Samia Na{\""""i}m"									356--395	De Gruyter Mouton					2010					
INCOLLECTION	catford83	San Diego, CA		Catford, J. C.	Pharyngeal and laryngeal sounds in {C}aucasian languages		??					Bless, D. M. and Abbs, J. H.									344--350	College Hill Press					1983					
INCOLLECTION	kodzasov86	Makhachkala		Kodzasov, S. V.	Faringo-laringalʹnoe suženie v dagestanskix jazykax		??					Klimov, G. A.									344--350	Dag. fil. AN SSSR					1986					
INPROCEEDINGS	gasser14			Gasser, Emily and Bowern, Claire	Revisiting phonotactic generalizations in {A}ustralian languages														1							1	2014					
INPROCEEDINGS	catford72			Catford, J. C.	Labialisation in {C}ausasian {L}anguages, with special reference to {A}bkhaz		???													De Gruyter Mouton	679--682						1972					
INPROCEEDINGS	kodzasov87			Kodzasov, S. V.	Pharyngeal features in the {D}aghestan languages		??														142--144					2	1987					
INPROCEEDINGS	arkhipov19			Arkhipov, A. and Daniel, M. and Belyaev, O. and Moroz, G. and Esling, J. H.	A reinterpretation of lower-vocal-tract articulations in {C}aucasian languages		??														5--9						2019					
MANUAL	moroz17			George Moroz	lingtypology: easy mapping for {L}inguistic {T}ypology																						2017	https://CRAN.R-project.org/package=lingtypology				
MANUAL	rteam	Vienna, Austria		R Core Team	R: {A} {L}anguage and {E}nvironment for {S}tatistical {C}omputing															R Foundation for Statistical Computing							2020	https://www.R-project.org/				
MANUAL	moroz20			George Moroz	Phonetic fieldwork and experiments with phonfieldwork package																						2020	https://CRAN.R-project.org/package=phonfieldwork				
MISC	daniell2021			Daniel, Michael	Ejectives in the {A}zerbaijani of {I}lisu																						2021					
MISK	eurasianphonology			Nikolaev, Dmitry and Andrey Nikulin and Anton Kukhto	The database of {E}urasian phonological inventories		The database of {E}urasian phonological inventories																				2015	http://eurasianphonology.info				
MISK	grawunder			Grawunder, S. and Moroz, G. and Zhigulskaya, V. and Daniel, M.	VOT in two {E}ast {C}aucasian languages																											
PHDTHESIS	khalilova09			Khalilova, Zaira	A grammar of {K}hwarshi																		Leiden University				2009					
