id,village,rus_village,lat,lon,lang,aff,family,standard,default_level,dialect_toplevel,dialect_toplevel_cyr,dialect_nt1,dialect_nt1_cyr,dialect_nt2,dialect_nt2_cyr,dialect_nt3,dialect_nt3_cyr,village_dialect,gltc_lang,lang_col,aff_col,dataset_version
11,Khutkhul,Хутхул,41.78517,47.61451,Agul,Lezgic,East Caucasian,NA,Agul,Central Agul,Среднеагульский,NA,NA,NA,NA,NA,NA,Khutkhul,aghu1253,#00cc66,#00cc66,2024-09-19
12,Fite,Фите,41.79161,47.73998,Agul,Lezgic,East Caucasian,NA,Agul,Fite,Фитинский,NA,NA,NA,NA,NA,NA,Fite,aghu1253,#00cc66,#00cc66,2024-09-19
13,Yarkug,Яркуг,41.79814,47.68435,Agul,Lezgic,East Caucasian,NA,Agul,Central Agul,Среднеагульский,NA,NA,NA,NA,NA,NA,Yarkug,aghu1253,#00cc66,#00cc66,2024-09-19
14,Burkikhan,Буркихан,41.806356,47.538467,Agul,Lezgic,East Caucasian,NA,Agul,NA,NA,NA,NA,NA,NA,NA,NA,Burkikhan,aghu1253,#00cc66,#00cc66,2024-09-19
15,Misi,Миси,41.80991,47.60329,Agul,Lezgic,East Caucasian,NA,Agul,Central Agul,Среднеагульский,NA,NA,NA,NA,NA,NA,Misi,aghu1253,#00cc66,#00cc66,2024-09-19
16,Kurag,Кураг,41.836764,47.661351,Agul,Lezgic,East Caucasian,NA,Agul,Central Agul,Среднеагульский,Kurag,Курагский,NA,NA,NA,NA,Kurag,aghu1253,#00cc66,#00cc66,2024-09-19
17,Tsirkhe,Цирхе,41.91513,47.59679,Agul,Lezgic,East Caucasian,NA,Agul,NA,NA,NA,NA,NA,NA,NA,NA,Tsirkhe,aghu1253,#00cc66,#00cc66,2024-09-19
18,Standard Agul,NA,41.92418,47.58429,Agul,Lezgic,East Caucasian,Standard Agul,Agul,NA,NA,NA,NA,NA,NA,NA,NA,NA,aghu1253,#00cc66,#00cc66,2024-09-19
19,Gelinbatan,Гелинбатан,41.94722,48.16722,Agul,Lezgic,East Caucasian,NA,Agul,Fite,Фитинский,NA,NA,NA,NA,NA,NA,Gelinbatan,aghu1253,#00cc66,#00cc66,2024-09-19
20,Kvankhidatl',Кванхидатль,42.65789,46.271742,Andi,Andic,East Caucasian,NA,Lower Andi,NA,NA,NA,NA,NA,NA,NA,NA,Kvankhidatli,andi1255,#003366,#9900ff,2024-09-19
21,Muni,Муни,42.680242,46.308874,Andi,Andic,East Caucasian,NA,Lower Andi,NA,NA,NA,NA,NA,NA,NA,NA,Muni,andi1255,#003366,#9900ff,2024-09-19
22,Mekheturi,Мехетури,42.70556,46.2375,Andi,Andic,East Caucasian,NA,Upper Andi,NA,NA,NA,NA,NA,NA,NA,NA,Mekheturi,andi1255,#003366,#9900ff,2024-09-19
23,Shivor,Шивор,42.714662,46.256637,Andi,Andic,East Caucasian,NA,Upper Andi,NA,NA,NA,NA,NA,NA,NA,NA,Shivor,andi1255,#003366,#9900ff,2024-09-19
24,Rushukha,Рушуха,42.715089999999996,46.28112,Andi,Andic,East Caucasian,NA,Upper Andi,NA,NA,NA,NA,NA,NA,NA,NA,Rushukha,andi1255,#003366,#9900ff,2024-09-19
25,Chanko,Чанко,42.717936,46.246417,Andi,Andic,East Caucasian,NA,Upper Andi,NA,NA,NA,NA,NA,NA,NA,NA,Chanko,andi1255,#003366,#9900ff,2024-09-19
26,Khando,Хандо,42.72694,46.23361,Andi,Andic,East Caucasian,NA,Upper Andi,NA,NA,NA,NA,NA,NA,NA,NA,Khando,andi1255,#003366,#9900ff,2024-09-19
27,Zilo,Зило,42.731394,46.319223,Andi,Andic,East Caucasian,NA,Upper Andi,NA,NA,NA,NA,NA,NA,NA,NA,Zilo,andi1255,#003366,#9900ff,2024-09-19
28,Tsibilta,Цибилта,42.74322,46.24311,Andi,Andic,East Caucasian,NA,Upper Andi,NA,NA,NA,NA,NA,NA,NA,NA,Tsibilta,andi1255,#003366,#9900ff,2024-09-19
29,Ashali,Ашали,42.76963,46.30878,Andi,Andic,East Caucasian,NA,Upper Andi,NA,NA,NA,NA,NA,NA,NA,NA,Ashali,andi1255,#003366,#9900ff,2024-09-19
30,Rikvani,Риквани,42.782304,46.319372,Andi,Andic,East Caucasian,NA,Upper Andi,NA,NA,NA,NA,NA,NA,NA,NA,Rikvani,andi1255,#003366,#9900ff,2024-09-19
