id	family	group	language	idiom	type	genlang_point	map	feature	form	root	transcription	meaning word 1	meaning word 2	translation	do_verb	work_noun	value1	value1_name	example	source	page	comment	same_root_noun	contributor	example_as_in_source	grammar (from dictionary)	gloss	translation_as_in_source	example_source	example_page	example_comment	date	language_new	idiom_new	type_new
33	East Caucasian	Andic	Karata	Karata	dialect_toplevel	yes	yes	Expression of the sense ‘to work’	б-ишаНхъ-алъа		bišãq-aɬa				га̄лъа // гагьалъа	ришаНхъер	dedicated_verb	Expression of the sense 'to work'		magomedovaxalidova2001	397, 354		yes	Konstantin Filatov, Svetlana Zemicheva								5.2025			
34	East Caucasian	Andic	Tukita	Tukita	language	yes	yes	Expression of the sense ‘to work’	гигьабеду	гигьаб	gihab-edu				гигьеду	тухала	same_root_do	Expression of the sense 'to work'		magomedovaxalidova2001	397	; https://ids.clld.org/contributions/40		Konstantin Filatov, Svetlana Zemicheva								5.2025			
35	East Caucasian	Andic	Karata	Anchiq	dialect_toplevel	no	yes	Expression of the sense ‘to work’	м-ишхъ-a:		mišq-aː				гагьа:	мишхъер	dedicated_verb	Expression of the sense 'to work'		Konstantin Filatov, p.c.			yes	Konstantin Filatov, Svetlana Zemicheva								5.2025			
36	East Caucasian	Khinalug	Khinalug	Khinalug	language	yes	yes	Expression of the sense ‘to work’	далыг кири		dalɨgkiri	работа, дело	делать	work do	кири	далыг	light_verb_constr	Expression of the sense 'to work'		ganieva2002	93			Konstantin Filatov, Svetlana Zemicheva								5.2025			
37	East Caucasian	Tsezic	Khwarshi	Kvantlada	village	yes	yes	Expression of the sense ‘to work’	ħalt’i		ħalt’i			work-INF	лува	хӀалтӀи	dedicated_verb	Expression of the sense 'to work'		khalilova2009	318	; https://ids.clld.org/contributions/41	yes	Konstantin Filatov, Svetlana Zemicheva								5.2025			
38	East Caucasian	Lezgic	Kryz	Alik	dialect_toplevel	yes	yes	Expression of the sense ‘to work’	işla-miş		išlamiš				ar-iz	kar	dedicated_verb	Expression of the sense 'to work'		authier2009	258			Konstantin Filatov, Svetlana Zemicheva								5.2025			
39	East Caucasian	Lezgic	Kryz			no	no	Expression of the sense ‘to work’							йе̌джи	аьрваьз		Expression of the sense 'to work'						Konstantin Filatov, Svetlana Zemicheva								5.2025			
40	Turkic	Kipchak	Kumyk	Standard Kumyk	language	yes	yes	Expression of the sense ‘to work’	ишлемек		iš-le-mek			work-INF	эт	иш; къыйын	dedicated_verb	Expression of the sense 'to work'		bammatov2013	134	le указывает на образование глагола от существительного ; abdullaevaetal2014	yes	Konstantin Filatov, Svetlana Zemicheva								5.2025			
41	East Caucasian	Lak	Lak	Standard Lak	language	yes	yes	Expression of the sense ‘to work’	зун		zun				бан	дав(у)	dedicated_verb	Expression of the sense 'to work'		abdullaev2018	755			Konstantin Filatov, Svetlana Zemicheva	то же - в др. словаре	(деепр. наст.вр. зий) длит. вид Деепричастие (настоящего времени) от глаголов длительного вида, не имеющих совершенного вида и выступающих как первообразные						5.2025			
42	East Caucasian	Lezgic	Lezgian	Standard Lezgian	language	yes	yes	Expression of the sense ‘to work’	кӀвалах авун		kʼʷalaχ awun	работа	делать	work do	авун	кӀвалах	light_verb_constr	Expression of the sense 'to work'		talibovgadzhiev1966	30			Konstantin Filatov, Svetlana Zemicheva								5.2025			
43	Turkic	Kipchak	Nogai	Standard Nogai	language	yes	yes	Expression of the sense ‘to work’	ислев		islew				ислев	ис; куллык	colexified_with_do	Expression of the sense 'to work'		baskakov1963	120			Konstantin Filatov, Svetlana Zemicheva								5.2025			
