id	language	idiom	type	genlang_point	map	feature	value1	value1_name	source	page	other functions of ordinal marker	comment	contributor	form	example_as_in_source	example	translation_as_in_source	translation	gloss	example_source	example_page	example_comment	date
29	Khinalug	Khinalug	language	yes	yes	Ordinals	not attested	'say' strategy	desheriev1959	136	set of ordinal numerals borrowed from Azerbaijani		Ivan Netkachev, Polina Nasledskova										10.202
30	Khwarshi	Kvantlada	village	yes	yes	Ordinals	attested	'say' strategy	khalilova2009	175	past participle of 'say'		Ivan Netkachev, Polina Nasledskova			qˁ’wene-iƛƛ-u		second	two-say-ptcp.pst	khalilova2009	175		10.202
31	Kryz	Alik	dialect_toplevel	yes	yes	Ordinals	attested	'say' strategy	authier2009	106	participle of 'say'		Ivan Netkachev, Polina Nasledskova			q'ʷa-r li-yi		second	two-1 say.ipfv-ptcp	authier2009	106		10.202
32	Kumyk	Standard Kumyk	language	yes	yes	Ordinals	not attested	'say' strategy	abdullaevaetal2014		dedicated		Ivan Netkachev, Polina Nasledskova			segiz-inči		eighth	eight-ord	abdullaevaetal2014			10.202
33	Lak	Standard Lak	language	yes	yes	Ordinals	attested	'say' strategy	zhirkov1955	59	participle of 'say'		Ivan Netkachev, Polina Nasledskova			muq'ul-čin-mur		fourth	four-say.inf-attr.contr.3	zhirkov1955	59		10.202
34	Lezgian	Standard Lezgian	language	yes	yes	Ordinals	attested	'say' strategy	haspelmath1993	233	aorist participle of 'say'		Ivan Netkachev, Polina Nasledskova			q'ʷed lah-ay		second	two say.aor-aop	haspelmath1993	233		10.202
35	Nogai	Standard Nogai	language	yes	yes	Ordinals	not attested	'say' strategy	baskakov1996	334	dedicated		Ivan Netkachev, Polina Nasledskova			eki-nši		second	two-ord	baskakov1996	334		10.202
36	Rutul	Kina	village	yes	yes	Ordinals	attested (phonetically eroded)	'say' strategy	field data		future participle of 'say'		Ivan Netkachev, Polina Nasledskova			juq'u-d-xu-s-dɨ		fourth	four-4-say-inf-attr	field data			10.202
37	Tabasaran	Standard Tabasaran	language	yes	yes	Ordinals	attested (phonetically eroded)	'say' strategy	magometov1965	164	dedicated		Ivan Netkachev, Polina Nasledskova			šibbu-r-pi		third	three-h-ord	magometov1965	164		10.202
38	Tindi	Tindi	village	yes	yes	Ordinals	not attested	'say' strategy	verheesnaccarato2019		dedicated		Ivan Netkachev, Polina Nasledskova			kʲ’ekʲ’a-liƛa-		second	two-ord-(cm)	verheesnaccarato2019			10.202
39	Tsakhur	Mishlesh	village	yes	yes	Ordinals	attested (phonetically eroded)	'say' strategy	sosenskaja1999num	166	dedicated		Ivan Netkachev, Polina Nasledskova			yoq'u-ʔes-da		fourth	four-ord-attr	sosenskaja1999num	166		10.202
40	Tsez	Kidero	dialect_nt1	yes	yes	Ordinals	attested	'say' strategy	bokarev1959	202	past participle of 'say'		Ivan Netkachev, Polina Nasledskova			q’a-no āƛi-ru		second	two-dir say-ptcp.pst	bokarev1959	202		10.202
41	Udi	Udi	language	yes	yes	Ordinals	not attested	'say' strategy	schulze2005	281	dedicated (borrowed from Azerbaijani)		Ivan Netkachev, Polina Nasledskova			xib-umǯi		third	three-ord	schulze2005	281	the ordinal marker is borrowed from Azerbaijani	10.202
