id	language	idiom	type	genlang_point	map	feature	value1_name	value1	source	page	contributor	date	language_new	idiom_new	type_new
45	Nogai	Standard Nogai	language	yes	yes	Velar fricatives	Velar fricatives	none	baskakov1940	27	George Moroz	2021.10.04			
46	Rutul	Luchek	village	yes	yes	Velar fricatives	Velar fricatives	ɣ, x	alekseev1994	215	George Moroz	2021.10.04			
47	Rutul	Luchek	village	no	yes	Velar fricatives	Velar fricatives	ɣ, x	kibrikkodzasov1990	342--343	Viola Ivanova	2017.05.06			
48	Tabasaran	Standard Tabasaran	language	no	yes	Velar fricatives	Velar fricatives	ɣ, x	alekseevshixalieva2003	29	George Moroz	2021.10.04			
49	Tabasaran	Dyubek	village	yes	yes	Velar fricatives	Velar fricatives	ɣ, x	kibrikkodzasov1990	336	George Moroz	2017.05.06			
50	Tat	Muslim Tat	dialect_toplevel	yes	yes	Velar fricatives	Velar fricatives	none	griunberg1963	17	George Moroz	2021.10.04			
51	Tindi	Tindi	village	no	yes	Velar fricatives	Velar fricatives	x, xʲ	kibrikkodzasov1990	326--327	Viola Ivanova	2017.05.06			
52	Tindi	Tindi	village	yes	yes	Velar fricatives	Velar fricatives	x, xʲ	magomedova2012		George Moroz	2021.10.04			
53	Tsakhur	Mishlesh	village	no	yes	Velar fricatives	Velar fricatives	x, xʲ	kibrik1999	16	George Moroz	2021.10.04			
54	Tsakhur	Mikik	village	yes	yes	Velar fricatives	Velar fricatives	ɣ, x	kibrikkodzasov1990	343	George Moroz	2017.05.06			
55	Tsez	Kidero	village	no	yes	Velar fricatives	Velar fricatives	none	kibrikkodzasov1990	328	Viola Ivanova	2017.05.06			
56	Tsez	Sagada	village	yes	yes	Velar fricatives	Velar fricatives	none	wilson2021	388	George Moroz	2021.10.04			
57	Tsova-Tush	Zemo-Alvani	village	yes	yes	Velar fricatives	Velar fricatives	ɣ, x	holiskygagua1994	150	George Moroz	2021.10.04			
58	Udi	Nizh	dialect_toplevel	yes	yes	Velar fricatives	Velar fricatives	none	kibrikkodzasov1990	347	Viola Ivanova	2017.05.06			
