id	language	idiom	type	genlang_point	map	feature	value1_name	value1	value2_name	value2	source	page	contributor	date	language_new	idiom_new	type_new
32	Ingush	Standard Ingush	language	yes	yes	Number of contrasts in voiceless obstruents	Type of the contrast	two-way	Contents of the contrast	C-Cʼ	nichols2011	20	George Moroz	2021.10.04			
33	Karata	Karata	dialect_toplevel	yes	yes	Number of contrasts in voiceless obstruents	Type of the contrast	four-way	Contents of the contrast	C-Cː-Cʼ-Cʼː	magomedbekova1971	12--18	George Moroz	2021.10.04			
34	Tukita	Tukita	language	yes	yes	Number of contrasts in voiceless obstruents	Type of the contrast	four-way	Contents of the contrast	C-Cː-Cʼ-Cʼː	gadzhieva2007	8	George Moroz	2021.10.04			
35	Khinalug	Khinalug	language	yes	yes	Number of contrasts in voiceless obstruents	Type of the contrast	four-way	Contents of the contrast	C-Cː-Cʰ-Cʼ	kibrik1994b	370	George Moroz	2021.10.04			
36	Khinalug	Khinalug	language	no	no	Number of contrasts in voiceless obstruents	Type of the contrast	three-way	Contents of the contrast	C-Cʰ-Cʼ	kibrikkodzasov1990	346--347	Viola Ivanova	2017.05.06			
37	Khwarshi	Inkhoqwari	dialect_toplevel	yes	yes	Number of contrasts in voiceless obstruents	Type of the contrast	two-way	Contents of the contrast	C-Cʼ	kibrikkodzasov1990	327	George Moroz	2017.05.06			
38	Khwarshi	Kvantlada	village	no	yes	Number of contrasts in voiceless obstruents	Type of the contrast	two-way	Contents of the contrast	C-Cʼ	khalilova2009	13	George Moroz	2021.10.04			
39	Kryz	Kryz Proper	dialect_toplevel	yes	yes	Number of contrasts in voiceless obstruents	Type of the contrast	two-way	Contents of the contrast	C-Cʼ	kibrikkodzasov1990	345	Viola Ivanova	2017.05.06			
40	Kryz	Kryz Proper	dialect_toplevel	no	yes	Number of contrasts in voiceless obstruents	Type of the contrast	two-way	Contents of the contrast	C-Cʼ	saadiev1994	409	George Moroz	2021.10.04			
41	Kumyk	Standard Kumyk	language	yes	yes	Number of contrasts in voiceless obstruents	Type of the contrast	one-way	Contents of the contrast	C	abdullaevaetal2014	33--56	George Moroz	2021.10.04			
42	Lak	Khosrekh	village	yes	yes	Number of contrasts in voiceless obstruents	Type of the contrast	three-way	Contents of the contrast	C-Cː-Cʼ	kibrikkodzasov1990	333	Viola Ivanova	2017.05.06			
43	Lezgian	Khlyut	village	no	yes	Number of contrasts in voiceless obstruents	Type of the contrast	three-way	Contents of the contrast	C-Cʰ-Cʼ	kibrikkodzasov1990	341	George Moroz	2017.05.06			
44	Lezgian	Standard Lezgian	language	yes	yes	Number of contrasts in voiceless obstruents	Type of the contrast	three-way	Contents of the contrast	C-Cː-Cʼ	gaydarovetal2009	56	George Moroz	2021.10.04			
45	Nogai	Standard Nogai	language	yes	yes	Number of contrasts in voiceless obstruents	Type of the contrast	one-way	Contents of the contrast	C	baskakov1940	27	George Moroz	2021.10.04			
46	Rutul	Luchek	village	yes	yes	Number of contrasts in voiceless obstruents	Type of the contrast	two-way	Contents of the contrast	C-Cʼ	alekseev1994	215	George Moroz	2021.10.04			
47	Rutul	Luchek	village	no	yes	Number of contrasts in voiceless obstruents	Type of the contrast	two-way	Contents of the contrast	C-Cʼ	kibrikkodzasov1990	342--343	Viola Ivanova	2017.05.06			
48	Tabasaran	Dyubek	village	no	yes	Number of contrasts in voiceless obstruents	Type of the contrast	three-way	Contents of the contrast	C-Cː-Cʼ	kibrikkodzasov1990	336	George Moroz	2017.05.06			
49	Tabasaran	Standard Tabasaran	language	yes	yes	Number of contrasts in voiceless obstruents	Type of the contrast	three-way	Contents of the contrast	C-Cː-Cʼ	alekseevshixalieva2003	29	George Moroz	2021.10.04			
50	Tat	Muslim Tat	dialect_toplevel	yes	yes	Number of contrasts in voiceless obstruents	Type of the contrast	one-way	Contents of the contrast	C	griunberg1963	17	George Moroz	2021.10.04			
51	Tindi	Tindi	village	no	yes	Number of contrasts in voiceless obstruents	Type of the contrast	three-way	Contents of the contrast	C-Cː-Cʼ	kibrikkodzasov1990	326--327	Viola Ivanova	2017.05.06			
52	Tindi	Tindi	village	yes	yes	Number of contrasts in voiceless obstruents	Type of the contrast	four-way	Contents of the contrast	C-Cː-Cʼ-Cʼː	magomedova2012	14--38	George Moroz	2021.10.04			
53	Tsakhur	Mikik	village	no	yes	Number of contrasts in voiceless obstruents	Type of the contrast	three-way	Contents of the contrast	C-Cː-Cʼ	kibrikkodzasov1990	343	George Moroz	2017.05.06			
54	Tsakhur	Mishlesh	village	yes	yes	Number of contrasts in voiceless obstruents	Type of the contrast	three-way	Contents of the contrast	C-Cː-Cʼ	kibrik1999	16	George Moroz	2021.10.04			
55	Tsez	Kidero	village	no	yes	Number of contrasts in voiceless obstruents	Type of the contrast	two-way	Contents of the contrast	C-Cʼ	kibrikkodzasov1990	328	Viola Ivanova	2017.05.06			
56	Tsez	Sagada	village	yes	yes	Number of contrasts in voiceless obstruents	Type of the contrast	two-way	Contents of the contrast	C-Cʼ	wilson2021	388	George Moroz	2021.10.04			
57	Tsova-Tush	Zemo-Alvani	village	yes	yes	Number of contrasts in voiceless obstruents	Type of the contrast	two-way	Contents of the contrast	C-Cʼ	holiskygagua1994	150	George Moroz	2021.10.04			
58	Udi	Nizh	dialect_toplevel	yes	yes	Number of contrasts in voiceless obstruents	Type of the contrast	two-way	Contents of the contrast	C-Cʰ	kibrikkodzasov1990	347	Viola Ivanova	2017.05.06			
