id	family	group	lang	idiom	type	genlang_point	map	feature	value1	value1_name	source	page	yesterday	yesterday_source	yesterday_page	the_day_before_yesterday	day_before_yesterday_source	day_before_yesterday_page	two_days_before_yesterday	two_days_before_source	two_days_before_page	three_days_before_yesterday	three_days_before_source	three_days_before_page	comment	contributor	date
21	East Caucasian	Dargwa	Dargwa	Mehweb	village	no	yes	strategy of naming the days before yesteday	2	Amount of distinct terms for days before today	isaev2001	270, 1126, 280	даг	isaev2001	270	архIели, гьабил	isaev2001	1126, 285	NA	NA	NA	NA	NA	NA		Timofey Dedov	30.06.2022
22	East Caucasian	Dargwa	Dargwa	Tanty	village	no	yes	strategy of naming the days before yesteday	2	Amount of distinct terms for days before today	isaev2001	270, 1126, 280	даг	isaev2001	270	архIели, гьабил	isaev2001	1126, 286	NA	NA	NA	NA	NA	NA		Timofey Dedov	30.06.2022
23	East Caucasian	Dargwa	Dargwa	Sanzhi	village	no	yes	strategy of naming the days before yesteday	2	Amount of distinct terms for days before today	isaev2001	270, 1126, 280	даг	isaev2001	270	архIели, гьабил	isaev2001	1126, 287	NA	NA	NA	NA	NA	NA		Timofey Dedov	30.06.2022
24	Kartvelian	Georgic	Georgian	Standard Georgian	language	yes	yes	strategy of naming the days before yesteday	2	Amount of distinct terms for days before today	kankava2001	82	გუშინ	kankava2001	82	გუშინწინ	kankava2001	82	NA	NA	NA	NA	NA	NA		Timofey Dedov	30.06.2022
25	East Caucasian	Andic	Godoberi	Godoberi	village	yes	yes	strategy of naming the days before yesteday	2	Amount of distinct terms for days before today	saidova2006	211, 259	лъа́хъи, су́ни	saidova2006	211, 259	су́нассуру	saidova2006	259	NA	NA	NA	NA	NA	NA		Timofey Dedov	30.06.2022
26	East Caucasian	Tsezic	Hinuq	Hinuq	village	yes	yes	strategy of naming the days before yesteday	2	Amount of distinct terms for days before today	xalilovisakov2005	229, 230	гьулъ	xalilovisakov2005	229	гьμлълъокьо	xalilovisakov2005	230	NA	NA	NA	NA	NA	NA		Timofey Dedov	30.06.2022
27	East Caucasian	Tsezic	Hunzib	Hunzib	language	yes	yes	strategy of naming the days before yesteday	3	Amount of distinct terms for days before today	isakovxalilov2001	69, 278	гьу́ᴴл	isakovxalilov2001	69	гьу́ᴴлдаартIо	isakovxalilov2001	69	гьу́ᴴлдаартIойалъ	isakovxalilov2001	278	NA	NA	NA		Timofey Dedov	30.06.2022
28	East Caucasian	Nakh	Ingush	Ingush	language	yes	yes	strategy of naming the days before yesteday	2	Amount of distinct terms for days before today	bekova2009	582, 573	селхан	bekova2009	582	самардийнахьа	bekova2009	573	NA	NA	NA	NA	NA	NA		Timofey Dedov	30.06.2022
29	East Caucasian	Andic	Karata	Karata	dialect_toplevel	yes	yes	strategy of naming the days before yesteday	2	Amount of distinct terms for days before today	magomedovaxalidova2001	256, 276	су́ни	magomedovaxalidova2001	256	уᴴс̄ва́ри	magomedovaxalidova2001	276	NA	NA	NA	NA	NA	NA		Timofey Dedov	30.06.2022
30	East Caucasian	Andic	Karata	Tukita	village	no	yes	strategy of naming the days before yesteday	2	Amount of distinct terms for days before today	magomedovaxalidova2001	256, 276	су́ни	magomedovaxalidova2001	256	уᴴс̄ва́ри	magomedovaxalidova2001	276	NA	NA	NA	NA	NA	NA		Timofey Dedov	30.06.2022
