id	family	group	language	idiom	type	genlang_point	map	chapter	feature1	value_as_in_source_j	value1	feature2	value_as_in_source_h	value2	feature3	value3	source	page	contributor	date
25	East Caucasian	Lezgic	Kryz	Kryz	language	yes	yes	Meaning of words hajwan and dʒanawar	"Translation of ""hajwan"""	animal	animal	Translation of dʒanawar	not attested	not attested	The presence of 'wolf' meaning	not attested	khalilov2023b		Dasha Tsikh	
26	Turkic	Kipchak	Kumyk	Standard Kumyk	language	yes	yes	Meaning of words hajwan and dʒanawar	"Translation of ""hajwan"""	animal, livestock, beast	wild animal	Translation of dʒanawar	animal 	animal 	The presence of 'wolf' meaning	no	bammatov2013; khalilov2023c	96;	Dasha Tsikh	
27	East Caucasian	Lak	Lak	Standard Lak	language	yes	yes	Meaning of words hajwan and dʒanawar	"Translation of ""hajwan"""	animal, livestock, sheep	sheep	Translation of dʒanawar	beast	wild animal	The presence of 'wolf' meaning	no	khajdakov1962	194; 114	Dasha Tsikh	
28	East Caucasian	Lezgic	Lezgian	Gyuney	dialect_nt1	yes	yes	Meaning of words hajwan and dʒanawar	"Translation of ""hajwan"""	animal, livestock	livestock	Translation of dʒanawar	wolf	wild animal	The presence of 'wolf' meaning	yes	talibovgadzhiev1966	98; 126	Dasha Tsikh	
29	Turkic	Kipchak	Nogai	Standard Nogai	language	yes	yes	Meaning of words hajwan and dʒanawar	"Translation of ""hajwan"""	animal, livestock, beast	wild animal	Translation of dʒanawar	not attested	not attested	The presence of 'wolf' meaning	not attested	baskakov1963	27	Dasha Tsikh	
30	East Caucasian	Lezgic	Rutul	Standard Rutul	language	yes	yes	Meaning of words hajwan and dʒanawar	"Translation of ""hajwan"""	animal, livestock	livestock	Translation of dʒanawar	beast, predator	wild animal	The presence of 'wolf' meaning	no	alisultanovsulejmanova2019	415; 132	Dasha Tsikh	
31	East Caucasian	Lezgic	Tabasaran	Standard Tabasaran	language	yes	yes	Meaning of words hajwan and dʒanawar	"Translation of ""hajwan"""	not attested	not attested	Translation of dʒanawar	wolf	wild animal	The presence of 'wolf' meaning	yes	xanmagomedovshalbuzov2001	81	Dasha Tsikh	
32	Indo-European	Iranian	Juhuri	Juhuri	language	yes	yes	Meaning of words hajwan and dʒanawar	"Translation of ""hajwan"""	animal, livestock, beast	wild animal	Translation of dʒanawar	beast, predator	wild animal	The presence of 'wolf' meaning	no	izgijaeva2005	214; 107	Dasha Tsikh	
33	East Caucasian	Andic	Tindi	Tindi	village	yes	yes	Meaning of words hajwan and dʒanawar	"Translation of ""hajwan"""	animal, livestock	livestock	Translation of dʒanawar	not attested	not attested	The presence of 'wolf' meaning	not attested	magomedova2003	351	Dasha Tsikh	
34	East Caucasian	Lezgic	Tsakhur	Tsakh	dialect_toplevel	yes	yes	Meaning of words hajwan and dʒanawar	"Translation of ""hajwan"""	animal, livestock	livestock	Translation of dʒanawar	animal, livestock	livestock	The presence of 'wolf' meaning	no	ibragimovnurmamedov2010	136; 387	Dasha Tsikh	
35	East Caucasian	Tsezic	Tsez	Kidero	dialect_nt1	yes	yes	Meaning of words hajwan and dʒanawar	"Translation of ""hajwan"""	animal, livestock	livestock	Translation of dʒanawar	beast, predator	wild animal	The presence of 'wolf' meaning	no	xalilov1999	489; 217	Dasha Tsikh	
36	East Caucasian	Nakh	Tsova-Tush	Tsova-Tush	language	yes	yes	Meaning of words hajwan and dʒanawar	"Translation of ""hajwan"""	not attested	not attested	Translation of dʒanawar	not attested	not attested	The presence of 'wolf' meaning	not attested			Dasha Tsikh	
37	East Caucasian	Lezgic	Udi	Udi	language	yes	yes	Meaning of words hajwan and dʒanawar	"Translation of ""hajwan"""	not attested	not attested	Translation of dʒanawar	wolf	wild animal	The presence of 'wolf' meaning	yes	mobili2010	78	Dasha Tsikh	
