village,rus_village,lat,lon,gltc_lang,gltc_dialect,village_dataset_version
Oruzhba,Оружба,41.775686,48.432854,lezg1247,kiur1238,2022-07-03
Zaza,Заза,41.77734,48.04628,lezg1247,,2022-07-03
Chukhverkent,Чухверкент,41.77797,48.37314,lezg1247,,2022-07-03
Chakhchakh-Kazmalyar,Чахчах-Казмаляр,41.78651,48.50046,lezg1247,,2022-07-03
Yarukvalar,Яруквалар,41.79842,48.41318,lezg1247,,2022-07-03
Darkush-Kazmalyar,Даркуш-Казмаляр,41.80608,48.38985,lezg1247,,2022-07-03
Khtun-Kazmalyar,Хтун-Казмаляр,41.81114,48.51884,lezg1247,,2022-07-03
Tagirkent-Kazmalyar,Тагиркент-Казмаляр,41.814927,48.511106,lezg1247,,2022-07-03
Kartas-Kazmalyar,Картас-Казмаляр,41.81717,48.39484,lezg1247,kiur1238,2022-07-03
Bil'bil'-Kazmalyar,Бильбиль-Казмаляр,41.82188,48.5448,lezg1247,,2022-07-03
Samur,Самур,41.829176,48.487012,lezg1247,,2022-07-03
Azadogly,Азадолгы,41.83019,48.44848,lezg1247,,2022-07-03
Kullar,Куллар,41.8364,48.3878,lezg1247,,2022-07-03
Kumuk,Кумук,41.839407,48.420118,lezg1247,,2022-07-03
Primorskiy,Приморский,41.845694,48.580097,lezg1247,,2022-07-03
Novyy Frig,Новый Фриг,41.85306,48.35743,lezg1247,,2022-07-03
Nyugdi,Нюгди,41.85872,48.43455,nort2697,,2022-07-03
Belidzhi,Белиджи,41.870833,48.388611,lezg1247,,2022-07-03
Aglobi,Аглоби,41.90152,48.35017,lezg1247,,2022-07-03
Aladash,Аладаш,41.907149,48.349478,lezg1247,,2022-07-03
Mollakent,Моллакент,41.9233,48.3864,lezg1247,,2022-07-03
Avadan,Авадан,41.93376,48.33858,lezg1247,,2022-07-03
Arablyar,Арабляр,41.935,48.38306,lezg1247,,2022-07-03
Arablinskoe,Араблинское,41.9675,48.3303,lezg1247,,2022-07-03
Vavilovo,Вавилово,41.98331,48.33065,lezg1247,,2022-07-03
Aleksandro-Nevskoe,Александро-Невское,43.92181,46.55817,lezg1247,,2022-07-03
Chernyaevka,Черняевка,43.9458,47.0342,lezg1247,,2022-07-03
Sar-Sar,Сар-Сар,43.96993,47.0777,lezg1247,,2022-07-03
Kurush,Куруш,41.28083,47.83,lezg1247,,2022-07-03
Novaya Kosa,Новая Коса,43.553007,47.367407,noga1249,,2022-07-03
Orazgulaul,Оразгулаул,43.564682,47.344642,noga1249,,2022-07-03
Shakhbulatotar,Шахбулатотар,43.57167,46.70056,noga1249,,2022-07-03
Gemetyube,Геметюбе,43.5747,46.9014,noga1249,,2022-07-03
Tamazatyube,Тамазатюбе,43.578224,47.159585,noga1249,,2022-07-03
Yangylbay,Янгылбай,43.63059,46.93654,noga1249,,2022-07-03
Tamazatyube (staroe),Тамазатюбе (старое),43.66258,47.171012,noga1249,,2022-07-03
Novokrest'yanovskoe,Новокрестьяновское,43.88459,46.57013,noga1249,,2022-07-03
Burumbay,Бурумбай,43.888168,46.968787,noga1249,,2022-07-03
Stepnoe,Степное,43.89479,46.49285,noga1249,,2022-07-03
Sangishi,Сангиши,43.89977,47.03304,noga1249,,2022-07-03
Novovladimirskoe,Нововладимирское,43.9128,46.95124,noga1249,,2022-07-03
Mangulaul,Мангулаул,43.92672,47.31052,noga1249,,2022-07-03
Kumli,Кумли,43.9906,46.0658,noga1249,,2022-07-03
Vyshetalovskiy,Вышеталовский,44.035,46.72333,noga1249,,2022-07-03
Oguzer,Огузер,44.0508,47.0619,noga1249,,2022-07-03
Edige,Эдиге,44.07361,46.35778,noga1249,,2022-07-03
Novodmitrievka,Новодмитриевка,44.0808,46.4847,noga1249,,2022-07-03
Karasu,Карасу,44.08328,45.90582,noga1249,,2022-07-03
Makarovskoe,Макаровское,44.121013,46.892273,noga1249,,2022-07-03
Sulutyube,Сулутюбе,44.13378,45.81648,noga1249,,2022-07-03
Chervlennye Buruny,Червленные Буруны,44.16142,45.62342,noga1249,,2022-07-03
Terekli-Mekteb,Терекли-Мактеб,44.1671,45.86975,noga1249,,2022-07-03
Batyr-Murza,Батыр-Мурза,44.176052,45.695673,noga1249,,2022-07-03
Nariman,Нариман,44.189709,45.835784,noga1249,blac1266,2022-07-03
Boranchi,Боранчи,44.21684,45.53166,noga1249,,2022-07-03
Uy-Salgan,Уй-Салган,44.21889,45.15639,noga1249,,2022-07-03
Ortatyube,Ортатюбе,44.24611,45.28167,noga1249,,2022-07-03
Karagas,Карагас,44.2514,45.3853,noga1249,,2022-07-03
Kunbatar,Кунбатар,44.29337,45.58396,noga1249,,2022-07-03
Nizhniy Katrukh,Нижний Катрух,41.742979,47.203482,nort2697,,2022-07-03
Rubas,Рубас,41.895476,48.329618,taba1259,,2022-07-03
Muzaim,Музаим,41.90837,48.29136,nort2697,,2022-07-03
Tsanak,Цанак,41.94266,48.04137,nort2697,,2022-07-03
Maraga,Марага,41.9633,48.1208,nort2697,,2022-07-03
Pendzhi (Penzhik),Пенджи (Пенжик),41.966,48.05,nort2697,,2022-07-03
Yekrag,Йекраг,41.967212,48.044297,nort2697,,2022-07-03
Kheli,Хели,41.967458,48.058177,nort2697,,2022-07-03
Rukel',Рукель,41.9881,48.2253,nort2697,,2022-07-03
Nizhniy Dzhalgan,Нижний Джалган,41.99007,48.31898,nort2697,,2022-07-03
Khazar,Хазар,41.9944,48.3375,nort2697,,2022-07-03
Mugarty,Мугарты,41.9947,48.1614,nort2697,,2022-07-03
Zil',Зиль,41.99616,48.03356,nort2697,,2022-07-03
Mitagi,Митаги,42.01736,48.19083,nort2697,,2022-07-03
Yersi,Йерси,42.018844,48.012897,nort2697,,2022-07-03
Darvag,Дарваг,42.022285,48.065912,nort2697,,2022-07-03
Dzhalgan,Джалган,42.02454,48.26224,nort2697,,2022-07-03
Mitagi-Kazmalyar,Митаги-Казмаляр,42.035494,48.204804,nort2697,,2022-07-03
Zid'yan,Зидьян,42.050776,48.142558,nort2697,,2022-07-03
Sabnova,Сабнова,42.063172,48.254419,nort2697,,2022-07-03
Zid'yan-Kazmalyar,Зидьян-Казмаляр,42.07957,48.15655,nort2697,,2022-07-03
Bil'gadi,Бильгади,42.08581,48.13462,nort2697,,2022-07-03
Chinar,Чинар,42.1075,48.1439,nort2697,,2022-07-03
Kala,Кала,42.1464,48.1634,nort2697,,2022-07-03
Salik,Салик,42.17335,48.08635,nort2697,,2022-07-03
Imeni Michurina,Имени Мичурина,42.17695,48.19867,nort2697,,2022-07-03
Yunyy Pakhar',Юный Пахарь,42.180183,48.160227,nort2697,,2022-07-03
Velikent,Великент,42.1875,48.0647,nort2697,,2022-07-03
Delichoban,Деличобан,42.19877,48.09467,nort2697,,2022-07-03
Padar,Падар,42.19939,48.05179,nort2697,,2022-07-03
Tatlyar,Татляр,42.2003,48.0269,nort2697,,2022-07-03
Ulluterkeme,Уллутеркеме,42.21511,48.00644,nort2697,,2022-07-03
Berikey,Берикей,42.2228,48.0611,nort2697,,2022-07-03
Dzhemikent,Джемикент,42.23575,48.04114,nort2697,,2022-07-03
Segeler,Сегелер,42.26056,48.11556,nort2697,,2022-07-03
Persidskoe,Персидское,43.884078,46.894044,nort2697,,2022-07-03
Bol'shebredikhinskiy,Большебредехинский,43.8967,46.8539,nort2697,,2022-07-03
Khnov,Хнов,41.378607,47.443605,rutu1240,borc1243,2022-07-03
Kiche,Киче,41.53146,47.48171,rutu1240,,2022-07-03
Rutul,Рутул,41.5342,47.4269,rutu1240,,2022-07-03
Kufa,Куфа,41.564115,47.376937,rutu1240,,2022-07-03
Khnyukh,Хнюх,41.58289,47.43299,rutu1240,,2022-07-03
Amsar,Амсар,41.60348,47.33116,rutu1240,,2022-07-03
Luchek,Лучек,41.60988,47.307307,rutu1240,,2022-07-03
Kina,Кина,41.6166,47.2647,rutu1240,,2022-07-03
Shinaz,Шиназ,41.618658,47.375666,rutu1240,shin1265,2022-07-03
Vrush,Вруш,41.646787,47.310094,rutu1240,,2022-07-03
Dzhilikhur,Джилихур,41.65545,47.26768,rutu1240,ixre1238,2022-07-03
Tsudik,Цудик,41.66611,47.28056,rutu1240,ixre1238,2022-07-03
Myukhrek,Мюхрек,41.667696,47.280013,rutu1240,ixre1238,2022-07-03
Aran,Аран,41.67389,47.24639,rutu1240,,2022-07-03
Ikhrek,Ихрек,41.693931,47.210005,rutu1240,ixre1238,2022-07-03
Novyy Borch,Новый Борч,43.48722,47.04556,rutu1240,,2022-07-03
Kazankulak,Казанкулак,43.52334,47.13435,rutu1240,,2022-07-03
Khoredzh,Хоредж,41.74914,47.8667,taba1259,sout2752,2022-07-03
Khiv,Хив,41.7533,47.9286,taba1259,sout2752,2022-07-03
Laka,Лака,41.75705,47.88114,taba1259,sout2752,2022-07-03
Tsuduk,Цудук,41.78225,47.89671,taba1259,,2022-07-03
Archug,Арчуг,41.7843,47.86009,taba1259,,2022-07-03
Yargil',Яргиль,41.79004,47.95429,taba1259,sout2752,2022-07-03
Kondik,Кондик,41.8028,47.8733,taba1259,,2022-07-03
Mezhgyul',Межгюль,41.8061,48.0075,taba1259,sout2752,2022-07-03
Chere,Чере,41.80685,48.0425,taba1259,sout2752,2022-07-03
Chuvek,Чувек,41.807699,47.901711,taba1259,,2022-07-03
Zil'dik,Зильдик,41.81292,47.98958,taba1259,,2022-07-03
Ashaga-Yarak,Ашага-Ярак,41.822988,47.952033,taba1259,,2022-07-03
Kushtil',Куштиль,41.8289,47.8894,taba1259,,2022-07-03
Yukhari-Yarak,Юхари-Ярак,41.83714,47.94825,taba1259,sout2752,2022-07-03
Sirtich,Сиртич,41.8406,48.2347,taba1259,sout2752,2022-07-03
Nichras,Ничрас,41.84358,48.01174,taba1259,sout2752,2022-07-03
Gyukhryag,Гюхряг,41.854055,48.172785,taba1259,,2022-07-03
Turag,Тураг,41.8586,47.9744,taba1259,sout2752,2022-07-03
Khursatil',Хурсатиль,41.862503,47.793991,taba1259,,2022-07-03
Furdag,Фурдаг,41.86348,47.86215,taba1259,,2022-07-03
Urga,Урга,41.869933,47.85522,taba1259,,2022-07-03
Vertil',Вертиль,41.87358,47.85893,taba1259,,2022-07-03
Kulig,Кулиг,41.874076,47.865347,taba1259,,2022-07-03
Garig,Гариг,41.8766,47.88498,taba1259,,2022-07-03
Atrik,Атрик,41.88042,47.78046,taba1259,,2022-07-03
Lyakhlya,Ляхля,41.88087,47.87761,taba1259,,2022-07-03
Chulat,Чулат,41.880921,48.154399,taba1259,,2022-07-03
Dzhuli,Джули,41.8822,47.85399,taba1259,,2022-07-03
Khyuryak,Хюряк,41.88238,48.07289,taba1259,,2022-07-03
Kuvig,Кувиг,41.88482,47.886538,taba1259,,2022-07-03
Urtil',Уртиль,41.89153,47.89347,taba1259,,2022-07-03
Sika,Сика,41.89173,47.97821,taba1259,,2022-07-03
Gumi,Гуми,41.894319,47.868304,taba1259,,2022-07-03
Burgankent,Бурганкент,41.89939,48.06439,taba1259,,2022-07-03
Afna,Афна,41.902075,47.861413,taba1259,,2022-07-03
Sikukh,Сикух,41.90457,47.84596,taba1259,,2022-07-03
Khalag,Халаг,41.90551,47.88935,taba1259,,2022-07-03
Turuf,Туруф,41.90569,48.00688,taba1259,,2022-07-03
Kyuryag,Кюряг,41.907094,47.853636,taba1259,,2022-07-03
Bukhnag,Бухнаг,41.910587,47.872994,taba1259,,2022-07-03
Kurkak,Куркак,41.91096,47.971699,taba1259,,2022-07-03
Tinit,Тинит,41.9131,48.0592,taba1259,,2022-07-03
Khanak,Ханак,41.91373,47.86645,taba1259,,2022-07-03
Vechrik,Вечрик,41.9171,47.96184,taba1259,,2022-07-03
Guvlig,Гувлиг,41.91824,47.85213,taba1259,,2022-07-03
Tsurtil',Цуртиль,41.918365,47.932001,taba1259,,2022-07-03
Dzhugdil',Джугдиль,41.919222,47.979531,taba1259,,2022-07-03
Gasikh,Гасих,41.92398,47.8847,taba1259,,2022-07-03
Firgil',Фиргиль,41.92507,48.02587,taba1259,,2022-07-03
Sertil',Сертиль,41.92531,47.86522,taba1259,,2022-07-03
Ushnyug,Ушнюг,41.92639,48.00306,taba1259,,2022-07-03
Kuvag,Куваг,41.926587,47.90245,taba1259,,2022-07-03
Akka (Daghestan),Акка (Дагестан),41.92686,47.9297,taba1259,,2022-07-03
Dagni,Дагни,41.931594,47.911846,taba1259,,2022-07-03
Dyuzler,Дюзлер,41.93583,48.265,taba1259,,2022-07-03
Kharkhni,Хархни,41.939561,47.880088,taba1259,,2022-07-03
Tsukhdyg,Цухдыг,41.94056,47.98139,taba1259,,2022-07-03
Gisik,Гисик,41.94475,47.91451,taba1259,,2022-07-03
Kharag,Хараг,41.945423,47.825106,taba1259,,2022-07-03
Arkit,Аркит,41.947308,48.014025,taba1259,,2022-07-03
Khuchni,Хучни,41.947717,47.945961,taba1259,,2022-07-03
Shile,Шиле,41.94774,47.82939,taba1259,,2022-07-03
Urzig,Урзиг,41.94811,47.84992,taba1259,,2022-07-03
Lyakhe,Ляхе,41.952293,47.914701,taba1259,,2022-07-03
Kyurek,Кюрек,41.95258,47.85934,taba1259,,2022-07-03
Churdaf,Чурдаф,41.95272,47.8636,taba1259,,2022-07-03
Dzhul'dzhag,Джульджаг,41.95485,47.88933,taba1259,,2022-07-03
Tsantil',Цантиль,41.95508,47.86271,taba1259,,2022-07-03
Kuzhnik,Кужник,41.95549,47.82231,taba1259,,2022-07-03
Rushul',Рушуль,41.9567,48.01232,taba1259,,2022-07-03
Uluz,Улуз,41.95721,47.83714,taba1259,,2022-07-03
Dzhul'dzhinif,Джульджиниф,41.957235,47.912939,taba1259,,2022-07-03
Kulif,Кулиф,41.95955,47.88391,taba1259,,2022-07-03
Arak,Арак,41.96112,47.98984,taba1259,,2022-07-03
Yurgulig,Юргулиг,41.962775,47.896658,taba1259,,2022-07-03
Gurik,Гурик,41.962788,47.919474,taba1259,,2022-07-03
Yergyunyag,Йергюняг,41.96295,47.89501,taba1259,,2022-07-03
Lidzhe,Лидже,41.97245,47.98057,taba1259,,2022-07-03
Pilig,Пилиг,41.97418,47.8687,taba1259,,2022-07-03
Khanag,Ханаг,41.97444,47.90333,taba1259,,2022-07-03
Novoe Lidzhe,Новое Лидже,41.976624,48.008813,taba1259,,2022-07-03
Rugudzh,Ругудж,41.976755,47.89161,taba1259,,2022-07-03
Yagdyg,Ягдыг,41.980115,47.970578,taba1259,,2022-07-03
Khurik,Хурик,41.98583,47.89861,taba1259,,2022-07-03
Khapil',Хапиль,41.98722,47.97731,taba1259,,2022-07-03
Tatil',Татиль,41.99269,47.98826,taba1259,,2022-07-03
Khustil',Хустиль,42.00335,47.93489,taba1259,,2022-07-03
Gurkhun',Гурхунь,42.0203,47.92712,taba1259,,2022-07-03
Dyubek,Дюбек,42.0208,47.969528,taba1259,,2022-07-03
Aknada,Акнада,42.4024828,46.1693204,tind1238,,2022-07-03
Gunduchi,Гундучи,42.424818,46.15836,tind1238,,2022-07-03
Angida,Ангида,42.43279,46.1924,tind1238,,2022-07-03
Echeda,Эчеда,42.43436,45.992398,tind1238,,2022-07-03
Asha,Аша,42.450373,46.3334458,tind1238,,2022-07-03
Tindi,Тинди,42.454716,46.13469,tind1238,,2022-07-03
Mukharkh,Мухарх,42.459302,46.15171,tind1238,,2022-07-03
Gvanachi,Гваначи,42.4606005,46.1622609,tind1238,,2022-07-03
Tenla,Тенла,42.465771,46.128629,tind1238,,2022-07-03
Gadaychi,Гадайчи,42.470059,46.070951,tind1238,,2022-07-03
Sanukh,Санух,42.47054,46.13446,tind1238,,2022-07-03
Khalikh,Халих,42.48467,46.09121,tind1238,,2022-07-03
Tissi,Тисси,42.48917,46.14395,tind1238,,2022-07-03
Tissi-Akhitli,Тисси-Ахитли,42.501506,46.103923,tind1238,,2022-07-03
Shuguri,Шугури,43.67833,47.05861,tind1238,,2022-07-03
Kurdul,Курдул,41.581424,47.177309,tsak1249,,2022-07-03
Gel'mets,Гельмец,41.62466,47.17889,tsak1249,,2022-07-03
Mikik,Микик,41.63753,47.16822,tsak1249,miki1243,2022-07-03
Khnyakh,Хнях,41.648441,47.153831,tsak1249,,2022-07-03
Syugut,Сюгут,41.64944,47.11833,tsak1249,,2022-07-03
Tsakhur,Цахур,41.651115,47.135943,tsak1249,,2022-07-03
Muslakh,Муслах,41.65889,47.11185,tsak1249,,2022-07-03
Mishlesh,Мишлеш,41.6649,47.089775,tsak1249,misl1238,2022-07-03
Ottal,Оттал,41.667678,47.012864,tsak1249,,2022-07-03
Korsh,Корш,41.66952,47.06211,tsak1249,,2022-07-03
Dzhinykh,Джиных,41.67245,47.04479,tsak1249,,2022-07-03
Kal'yal,Кальял,41.684366,47.003665,tsak1249,,2022-07-03
Mukhakh,Мухах,41.70068,46.991105,tsak1249,,2022-07-03
El'bok,Эльбок,42.183907,45.906506,dido1241,,2022-07-03
Khibiyatl',Хибиятль,42.187996,45.874341,dido1241,shap1241,2022-07-03
Kidero,Кидеро,42.1931,45.9583,dido1241,kide1235,2022-07-03
Zekhida,Зехида,42.19594,45.94664,dido1241,kide1235,2022-07-03
Vitsiyatl',Вициятль,42.197434,45.888164,dido1241,shap1241,2022-07-03
Khupri,Хупри,42.20145,45.84143,dido1241,shap1241,2022-07-03
Gutatli,Гутатли,42.207019,45.936713,dido1241,kide1235,2022-07-03
Kitlyarta,Китлярта,42.20849,45.84333,dido1241,shap1241,2022-07-03
Tsitsimakh,Цицимах,42.21621,45.82621,dido1241,shap1241,2022-07-03
Shapikh,Шапих,42.224044,45.858118,dido1241,shap1241,2022-07-03
Khalakh,Халах,42.22547,45.850837,dido1241,,2022-07-03
Berikh,Берих,42.23806,46.05306,dido1241,,2022-07-03
Genazokh,Геназох,42.23806,46.05306,dido1241,asak1234,2022-07-03
Khuntli,Хунтли,42.23806,46.05306,dido1241,,2022-07-03
Khutrakh,Хутрах,42.23806,46.05306,dido1241,,2022-07-03
Geniyatl',Гениятль,42.23828,46.035044,dido1241,shay1234,2022-07-03
Shaitli,Шаитли,42.23835,46.05158,dido1241,shay1234,2022-07-03
Chalyakh,Чалях,42.24114,45.83754,dido1241,,2022-07-03
Retlob,Ретлоб,42.24411,45.8289,dido1241,asak1234,2022-07-03
Kituri,Китури,42.244627,46.019304,dido1241,,2022-07-03
Itsirakh,Ицирах,42.244662,45.849585,dido1241,,2022-07-03
Tsekhok,Цехок,42.24723,45.98528,dido1241,kide1235,2022-07-03
Kimyatli,Кимятли,42.2488,45.82303,dido1241,asak1234,2022-07-03
Khetokh,Хетох,42.25611,45.97361,dido1241,,2022-07-03
Akdy,Акды,42.25829,45.82798,dido1241,,2022-07-03
Azilta,Азилта,42.260166,45.938182,dido1241,,2022-07-03
Khora,Хора,42.26028,45.81278,dido1241,,2022-07-03
Chaatli,Чаатли,42.261724,45.818805,dido1241,shay1234,2022-07-03
Khenokh,Хенох,42.26183,45.96692,dido1241,kide1235,2022-07-03
Mokok,Мокок,42.2619,45.9008,dido1241,kide1235,2022-07-03
Asakh,Асах,42.26311,45.81684,dido1241,,2022-07-03
Shiya,Шия,42.26556,45.8025,dido1241,,2022-07-03
Shauri,Шаури,42.270484,45.941421,dido1241,kide1235,2022-07-03
Udok,Удок,42.2714,45.79631,dido1241,asak1234,2022-07-03
Tsokhok,Цохок,42.27548,45.79457,dido1241,,2022-07-03
Khebatli,Хебатли,42.2819,45.92585,dido1241,kide1235,2022-07-03
Galatli,Галатли,42.288201,45.894106,dido1241,kide1235,2022-07-03
Terutli,Терутли,42.28853,45.79295,dido1241,asak1234,2022-07-03
Makhalotli,Махалотли,42.297776,45.796291,dido1241,asak1234,2022-07-03
Khamaitli,Хамаитли,42.31091,45.96217,dido1241,shay1234,2022-07-03
Tlyatsuda,Тляцуда,42.34923,45.92493,dido1241,saga1261,2022-07-03
Mitluda,Митлуда,42.36693,45.94512,dido1241,saga1261,2022-07-03
Sagada,Сагада,42.38941,45.91798,dido1241,saga1261,2022-07-03
Khushet,Хушет,42.39721,45.77278,dido1241,,2022-07-03
Karatyube,Каратюбе,43.66738,46.82335,dido1241,,2022-07-03
Vyshetalovka,Вышеталовка,44.042518,46.725504,dido1241,,2022-07-03
Tlyarata,Тлярата,42.1,46.33333,avar1256,,2022-07-03
Tsunta,Цунта,42.2010432,45.9323467,dido1241,,2022-07-03
Derbent,Дербент,42.06917,48.29583,jude1256,cauc1242,2022-07-03
Siukh (Khunzakhsky district),Сиух (Хунзахский район),42.6,46.54722,avar1256,,2022-07-03
Kakamakhi (Karabudakhkentsky district),Какамахи (Карабудахкентский район),42.62928,47.43518,kumy1244,,2022-07-03
Borch,Борч,41.4544,47.323,rutu1240,,2022-07-03
Ankho,Анхо,42.723184,46.239448,botl1242,,2022-07-03
Egdada,Эгдада,42.4681009,46.0549675,cham1309,,2022-07-03
Tlenkhori,Тленхори,42.4681009,46.0549675,bagv1239,,2022-07-03
Bekhvalutchi,Бехвалутчи,42.464704,46.139754,tind1238,,2022-07-03
Beçeqarbinə,Бичигар,41.6302,46.3669,avar1256,zaqa1242,2022-07-03
Beretbinə,Беретбина,41.6403,46.4908,avar1256,zaqa1242,2022-07-03
Cederovtala,Чедерабтала,41.70486,46.31738,avar1256,zaqa1242,2022-07-03
Gərəkli,Герекли,41.7424,46.3935,avar1256,zaqa1242,2022-07-03
Katex,Катех,41.6525,46.5456,avar1256,zaqa1242,2022-07-03
Mahamalar,Магамалар,41.7396,46.4195,avar1256,zaqa1242,2022-07-03
Meşəşambul,Мешашамбул,41.7094,46.2927,avar1256,zaqa1242,2022-07-03
Mollaçıbinə,Моллачибина,41.6447,46.456,avar1256,zaqa1242,2022-07-03
Püştətala,Пуштатала,41.6329,46.4182,avar1256,zaqa1242,2022-07-03
Qabaqçöl,Кабахчоли,41.6995,46.2604,avar1256,zaqa1242,2022-07-03
Qasbinə,Казбина,41.6929,46.4429,avar1256,zaqa1242,2022-07-03
Qaysa,Кайса,41.7099,46.2354,avar1256,zaqa1242,2022-07-03
Qullar,Гуллар,41.7366,46.3867,avar1256,zaqa1242,2022-07-03
Roçəhməd,Рочахмад,41.6499,46.3947,avar1256,zaqa1242,2022-07-03
Şambul,Шумбул,41.6953,46.2826,avar1256,zaqa1242,2022-07-03
Şərif,Шариф,41.7279,46.2557,avar1256,zaqa1242,2022-07-03
Axaxdərə,Ахвах-дере,41.6624507,46.6360615,akhv1239,nort3330,2022-07-03
Xalatala,Халатала,41.7158,46.2794,avar1256,zaqa1242,2022-07-03
Mazımqarışan,Мазымкара,41.63965,46.26662,avar1256,zaqa1242,2022-07-03
Abaəli,Абалы,41.60501,46.54,avar1256,zaqa1242,2022-07-03
Car,Чар,41.6618,46.6747,avar1256,zaqa1242,2022-07-03
Danaçı,Даначи,41.5536,46.4233,avar1256,zaqa1242,2022-07-03
Dardoqqaz,Дардокказ,41.6094,46.555,avar1256,zaqa1242,2022-07-03
Həsənbinə,Хасануба,41.54306,46.48649,avar1256,zaqa1242,2022-07-03
Höytala,Гойтала,41.5817,46.4993,avar1256,zaqa1242,2022-07-03
Kebeloba,Кебельуба,41.6408,46.6414,avar1256,zaqa1242,2022-07-03
Maqov,Маков,41.5929,46.5004,avar1256,zaqa1242,2022-07-03
Mazıx,Мацех,41.6629,46.5821,avar1256,zaqa1242,2022-07-03
Paşan,Пашан,41.6037,46.4864,avar1256,zaqa1242,2022-07-03
Qəbizdərə,Габиздаьраь; Кабиздере,41.6949,46.5869,avar1256,zaqa1242,2022-07-03
Göyəm,Гугам,41.6171,46.5986,avar1256,zaqa1242,2022-07-03
Ziliban,Цилбан,41.6450406,46.6569936,avar1256,zaqa1242,2022-07-03
Vöhtala,Войтала,41.570004,46.4997127,avar1256,zaqa1242,2022-07-03
Yolayrıc,Нухбик,41.5674,46.4845,avar1256,zaqa1242,2022-07-03
Yuxarı Tala,Биринджи Тала,41.6262,46.6713,avar1256,zaqa1242,2022-07-03
Aşağı Çardaxlar,Нижнее Чардахло,41.5442,46.356,avar1256,zaqa1242,2022-07-03
Aşağı Tala,Ашагытала,41.6033,46.6442,avar1256,zaqa1242,2022-07-03
Çökəkoba,Чокакоба,41.6261,46.6227,avar1256,zaqa1242,2022-07-03
Muxax,Мухах,41.5662,46.7003,tsak1249,,2022-07-03
Sumaylı,Сумайло,41.6175,46.5735,avar1256,zaqa1242,2022-07-03
Tüyürbinə,Туюрбина,41.623333,46.556944,avar1256,zaqa1242,2022-07-03
Yuxarı Çardaxlar,Верхний Чардахлар,41.5825,46.75,avar1256,zaqa1242,2022-07-03
Buduq,Будуг,41.18611,48.36861,budu1248,,2022-07-03
Xınalıq,Хыналыг,41.17778,48.12694,khin1240,,2022-07-03
Haput,Хапут,41.142778,48.194444,kryt1240,,2022-07-03
Alıc,Алык,41.1775,48.23694,kryt1240,,2022-07-03
Cek,Джек,41.19694,48.24167,kryt1240,,2022-07-03
Yergüc,Йергюдж,41.209167,48.283056,kryt1240,,2022-07-03
Qrız,Крыз,41.21556,48.24667,kryt1240,kryz1238,2022-07-03
Qrızdəhnə,Крыз-Дехне,41.234681,48.304612,kryt1240,kryz1238,2022-07-03
Nic,Нидж,40.94,47.66833,udii1243,nidz1238,2022-07-03
Oğuz,Огуз,41.07083,47.45833,udii1243,oghu1245,2022-07-03
Qum,Кум,41.4550912,46.9013871,tsak1249,,2022-07-03
Qax,Гах,41.41944,46.91806,nort2697,,2022-07-03
Əlibəyli,Алибегло,41.378056,46.821944,nucl1302,ingi1240,2022-07-03
İlisu,Илису,41.46694,47.05917,nort2697,,2022-07-03
Meşəbaş,Мешабаш,41.408889,46.874444,nucl1302,ingi1240,2022-07-03
Dalıqaya,Дели-Кая,41.166667,48.433333,budu1248,,2022-07-03
Karakyz,Карагыз,41.133333,48.483333,budu1248,,2022-07-03
Yergüc,Ергюдж,41.209167,48.283056,budu1248,,2022-07-03
Sukhtakala,Сухтакала,41.266667,48.4,budu1248,,2022-07-03
Bağbanlı,Багбанлы,41.3803182,48.6369682,budu1248,,2022-07-03
Yalavanc,Ялавандж,41.228333,49.090278,budu1248,,2022-07-03
Tivi,Тиви,41.9086801,45.9489227,avar1256,ancu1238,2022-07-03
Zemo-Alvani,Земо-Алвани,42.04444,45.30083,bats1242,,2022-07-03
Chantlisqure,Чантлискуре,41.9095028,45.9071768,bezh1248,,2022-07-03
Duisi,Дуиси,42.1496689,45.2735209,chec1245,,2022-07-03
Dzibakhevi,Дзибахеви,42.2089029,45.2942061,chec1245,,2022-07-03
Dzhokolo,Джоколо,42.1725633,45.2979827,chec1245,,2022-07-03
Shua Khalatsani,Джуа Халацани,42.1400039,45.3184987,chec1245,,2022-07-03
Birkiani,Биркиани,42.1893702,45.2992057,chec1245,,2022-07-03
Omalo (Pankisi),Омало (Панкиси),42.1844732,45.3140331,chec1245,,2022-07-03
Saruso,Сарусо,41.9034507,45.991913,hunz1247,,2022-07-03
Zinobiani,Зинобиани,41.89694,45.93306,udii1243,okto1238,2022-07-03
Shoani,Шоани,42.791174,44.779613,ingu1240,,2022-07-03
Ol'geti,Ольгети,42.799632,44.756996,ingu1240,,2022-07-03
Lyazhgi,Ляжги,42.808416,44.732786,ingu1240,,2022-07-03
Guli,Гули,42.810771,44.798552,ingu1240,,2022-07-03
Targim,Таргим,42.810924,44.938931,ingu1240,,2022-07-03
Armkhi,Армхи,42.81195,44.7075,ingu1240,,2022-07-03
Dzheyrakh,Джейрах,42.821997,44.679701,ingu1240,,2022-07-03
Pyaling,Пялинг,42.822778,44.986389,ingu1240,,2022-07-03
Beyni,Бейни,42.834193,44.717048,ingu1240,,2022-07-03
Egikkhal,Эгикхал,42.835294,44.923332,ingu1240,,2022-07-03
Alkun,Алкун,42.967123,45.022044,ingu1240,,2022-07-03
