id	village	rus_village	lat	lon	lang	aff	family	standard	default_level	dialect_toplevel	dialect_toplevel_cyr	dialect_nt1	dialect_nt1_cyr	dialect_nt2	dialect_nt2_cyr	dialect_nt3	dialect_nt3_cyr	village_dialect	gltc_lang	lang_col	aff_col	dataset_version
320	Sredniy Aradirikh	Средний Арадирих	42.68121	46.58022	Avar	Avar-Andic	East Caucasian		Avar	Baqluq-Northern Avar	Батлухско-северное	Northern Avar	северноаварский	Khunzaq	хунзахский			Sredniy Aradirikh	avar1256	#009999	#009999	2025-03-20
321	Staryy Bavtugay	Старый Бавтугай	43.174998	46.840197	Avar	Avar-Andic	East Caucasian		Avar	Baqluq-Northern Avar	Батлухско-северное	Northern Avar	северноаварский	Salataw	салатавский			Staryy Bavtugay	avar1256	#009999	#009999	2025-03-20
322	Staryy Sivukh	Старый Сивух	42.80278	46.43694	Avar	Avar-Andic	East Caucasian		Avar									Staryy Sivukh	avar1256	#009999	#009999	2025-03-20
323	Sumaylı	Сумайло	41.6175	46.5735	Avar	Avar-Andic	East Caucasian		Avar	Southern Avar	Южноаварский	Zaqatala	закатальский					Sumaylı	avar1256	#009999	#009999	2025-03-20
324	Sumeta	Сумета	42.262025	46.705541	Avar	Avar-Andic	East Caucasian		Avar	Qaraq-Bukhti-Unti	Карахско-бухтинско-унтибское	Qaraq	карахский	Upper Qaraq	верхне-карахский			Sumeta	avar1256	#009999	#009999	2025-03-20
325	Tagada	Тагада	42.497573	46.868389	Avar	Avar-Andic	East Caucasian		Avar	Baqluq-Northern Avar	Батлухско-северное	Northern Avar	северноаварский	North-Eastern Avar	северовосточноаварский	Teletli	телетлинский	Tagada	avar1256	#009999	#009999	2025-03-20
326	Tadiyal	Тадиял	42.11099	46.4823	Avar	Avar-Andic	East Caucasian		Avar	Southern Avar	Южноаварский	Antsukh	анцухский	Bukhnada	Бухнадинский			Tadiyal	avar1256	#009999	#009999	2025-03-20
327	Talsukh	Талсух	42.04741	46.40589	Avar	Avar-Andic	East Caucasian		Avar	Antlratl	Анкратльское	Southern Antlratl	южноанкратльский	Buhnada	бухнадинский			Talsukh	avar1256	#009999	#009999	2025-03-20
328	Talukh	Талух	42.2561678	46.7435308	Avar	Avar-Andic	East Caucasian		Avar	Qaraq-Bukhti-Unti	Карахско-бухтинско-унтибское	Qaraq	карахский	Lower Qaraq	нижне-карахский			Talukh	avar1256	#009999	#009999	2025-03-20
329	Tamuda	Тамуда	42.21001	46.382	Avar	Avar-Andic	East Caucasian		Avar	Antlratl	Анкратльское	Northern Antlratl	северноанкратльский	Tash	ташский			Tamuda	avar1256	#009999	#009999	2025-03-20
330	Tando	Тандо	42.707696	46.175693	Avar	Avar-Andic	East Caucasian		Avar	Baqluq-Northern Avar	Батлухско-северное	Northern Avar	северноаварский	Unqratl	ункратльский			Tando	avar1256	#009999	#009999	2025-03-20
331	Tantari	Тантари	42.76371	46.64888	Avar	Avar-Andic	East Caucasian		Avar	Baqluq-Northern Avar	Батлухско-северное	Northern Avar	северноаварский	Khunzaq	хунзахский			Tantari	avar1256	#009999	#009999	2025-03-20
332	Tanusi	Тануси	42.58233	46.69233	Avar	Avar-Andic	East Caucasian		Avar	Baqluq-Northern Avar	Батлухско-северное	Northern Avar	северноаварский	Khunzaq	хунзахский			Tanusi	avar1256	#009999	#009999	2025-03-20
333	Taratul-Meer	Таратул-Меэр	42.619281	47.112087	Avar	Avar-Andic	East Caucasian		Avar									Taratul-Meer	avar1256	#009999	#009999	2025-03-20
334	Tasuta	Тасута	42.71731	46.22568	Avar	Avar-Andic	East Caucasian		Avar	Baqluq-Northern Avar	Батлухско-северное	Northern Avar	северноаварский	Unqratl	ункратльский			Tasuta	avar1256	#009999	#009999	2025-03-20
335	Tekita	Текита	42.630886	46.521832	Avar	Avar-Andic	East Caucasian		Avar									Tekita	avar1256	#009999	#009999	2025-03-20
336	Teletl	Телетль	42.4289	46.7317	Avar	Avar-Andic	East Caucasian		Avar	Baqluq-Northern Avar	Батлухско-северное	Northern Avar	северноаварский	North-Eastern Avar	северовосточноаварский	Teletli	телетлинский	Teletl	avar1256	#009999	#009999	2025-03-20
337	Tivi	Тиви	41.9086801	45.9489227	Avar	Avar-Andic	East Caucasian		Avar	Southern Avar	Южноаварский	Antsukh	анцухский					Tivi	avar1256	#009999	#009999	2025-03-20
338	Tidib	Тидиб	42.3889	46.5742	Avar	Avar-Andic	East Caucasian		Avar	Hid-Qeleb	Гидское	Hid	собственно гидский	Urada	урадинский			Tidib	avar1256	#009999	#009999	2025-03-20
339	Tilanib	Тиланиб	42.306633	46.350255	Avar	Avar-Andic	East Caucasian		Avar	Antlratl	Анкратльское	Northern Antlratl	северноанкратльский	Tash	ташский			Tilanib	avar1256	#009999	#009999	2025-03-20
340	Tilutl	Тилутль	42.109733	46.349325	Avar	Avar-Andic	East Caucasian		Avar	Antlratl	Анкратльское	Northern Antlratl	северноанкратльский	Antsros-Unhada	анцрос-унхадинский			Tilutl	avar1256	#009999	#009999	2025-03-20
341	Tinchuda	Тинчуда	42.19861	46.45306	Avar	Avar-Andic	East Caucasian		Avar	Antlratl	Анкратльское	Northern Antlratl	северноанкратльский	Tash	ташский			Tinchuda	avar1256	#009999	#009999	2025-03-20
342	Tlaylukh	Тлайлух	42.6212754	46.5237166	Avar	Avar-Andic	East Caucasian		Avar	Baqluq-Northern Avar	Батлухско-северное	Northern Avar	северноаварский	Khunzaq	хунзахский			Tlaylukh	avar1256	#009999	#009999	2025-03-20
343	Tlezda	Тлезда	42.4265358	46.4888366	Avar	Avar-Andic	East Caucasian		Avar	Baqluq-Northern Avar	Батлухско-северное	Northern Avar	северноаварский	North-Eastern Avar	северовосточноаварский	Teletli	телетлинский	Tlezda	avar1256	#009999	#009999	2025-03-20
344	Tlobzoda	Тлобзода	42.17944	46.37111	Avar	Avar-Andic	East Caucasian		Avar	Antlratl	Анкратльское	Northern Antlratl	северноанкратльский	Tash	ташский			Tlobzoda	avar1256	#009999	#009999	2025-03-20
345	Tlogob	Тлогоб	42.4189	46.8153	Avar	Avar-Andic	East Caucasian		Avar	Kuyada-Salta	Куяда-салтинское	Kuyada	куядинский					Tlogob	avar1256	#009999	#009999	2025-03-20
346	Tlokh	Тлох	42.6492	46.4578	Avar	Avar-Andic	East Caucasian		Avar	Baqluq-Northern Avar	Батлухско-северное	Northern Avar	северноаварский	Unqratl	ункратльский			Tlokh	avar1256	#009999	#009999	2025-03-20
347	Tlyanada	Тлянада	42.02864	46.51038	Avar	Avar-Andic	East Caucasian		Avar	Antlratl	Анкратльское	Southern Antlratl	южноанкратльский	Buhnada	бухнадинский			Tlyanada	avar1256	#009999	#009999	2025-03-20
348	Tlyarata	Тлярата	42.106187	46.354908	Avar	Avar-Andic	East Caucasian		Avar									Tlyarata	avar1256	#009999	#009999	2025-03-20
349	Tlyarobazutl	Тляробазутль	42.14039	46.77575	Avar	Avar-Andic	East Caucasian		Avar	Qaraq-Bukhti-Unti	Карахско-бухтинско-унтибское	Qaraq	карахский	Tlesserukh	тлессерухский			Tlyarobazutl	avar1256	#009999	#009999	2025-03-20
350	Tlyarosh	Тлярош	42.275317	46.751805	Avar	Avar-Andic	East Caucasian		Avar	Qaraq-Bukhti-Unti	Карахско-бухтинско-унтибское	Qaraq	карахский	Lower Qaraq	нижне-карахский			Tlyarosh	avar1256	#009999	#009999	2025-03-20
351	Tlyakh	Тлях	42.389928	46.540021	Avar	Avar-Andic	East Caucasian		Avar	Hid-Qeleb	Гидское	Hid	собственно гидский	Tlaq	тляхский			Tlyakh	avar1256	#009999	#009999	2025-03-20
352	Tokh	Тох	42.222292	46.291546	Avar	Avar-Andic	East Caucasian		Avar	Antlratl	Анкратльское	Northern Antlratl	северноанкратльский	Antsuq	анцухский			Tokh	avar1256	#009999	#009999	2025-03-20
353	Tokh-Orda	Тох-Орда	42.11174	46.35982	Avar	Avar-Andic	East Caucasian		Avar	Antlratl	Анкратльское	Northern Antlratl	северноанкратльский	Antsros-Unhada	анцрос-унхадинский			Tokh-Orda	avar1256	#009999	#009999	2025-03-20
354	Tokhota	Тохота	42.0178	46.4639	Avar	Avar-Andic	East Caucasian		Avar	Antlratl	Анкратльское	Southern Antlratl	южноанкратльский	Buhnada	бухнадинский			Tokhota	avar1256	#009999	#009999	2025-03-20
355	Tumagari	Тумагари	42.58165	46.60662	Avar	Avar-Andic	East Caucasian		Avar	Baqluq-Northern Avar	Батлухско-северное	Northern Avar	северноаварский	Khunzaq	хунзахский			Tumagari	avar1256	#009999	#009999	2025-03-20
356	Tunzi	Тунзи	42.46888	46.97573	Avar	Avar-Andic	East Caucasian		Avar	Kuyada-Salta	Куяда-салтинское	Kudali-Salta	кудали-салтинский					Tunzi	avar1256	#009999	#009999	2025-03-20
357	Tüyürbinə	Туюрбина	41.623333	46.556944	Avar	Avar-Andic	East Caucasian		Avar	Southern Avar	Южноаварский	Zaqatala	закатальский					Tüyürbinə	avar1256	#009999	#009999	2025-03-20
358	Uzdalroso	Уздалросо	42.48612	46.85577	Avar	Avar-Andic	East Caucasian		Avar	Baqluq-Northern Avar	Батлухско-северное	Northern Avar	северноаварский	North-Eastern Avar	северовосточноаварский	Teletli	телетлинский	Uzdalroso	avar1256	#009999	#009999	2025-03-20
359	Ukal	Укал	42.12163	46.34771	Avar	Avar-Andic	East Caucasian		Avar	Antlratl	Анкратльское	Northern Antlratl	северноанкратльский	Antsros-Unhada	анцрос-унхадинский			Ukal	avar1256	#009999	#009999	2025-03-20
360	Ulgeb	Ульгеб	41.964253	46.523688	Avar	Avar-Andic	East Caucasian		Avar	Antlratl	Анкратльское	Southern Antlratl	южноанкратльский	Tomur	томурский			Ulgeb	avar1256	#009999	#009999	2025-03-20
361	Umaylasulazda	Умайласулазда	42.421132	46.822734	Avar	Avar-Andic	East Caucasian		Avar	Kuyada-Salta	Куяда-салтинское	Kuyada	куядинский					Umaylasulazda	avar1256	#009999	#009999	2025-03-20
362	Unkida	Ункида	42.328698	46.885731	Avar	Avar-Andic	East Caucasian		Avar	Andalal	Андалальское	Rugudzha	ругуджинский					Unkida	avar1256	#009999	#009999	2025-03-20
363	Unty	Унты	42.311452	46.944631	Avar	Avar-Andic	East Caucasian		Avar	Qaraq-Bukhti-Unti	Карахско-бухтинско-унтибское	Unti-Batsada	унтибско-бацадинский	Unti-Kulla	унтибско-кулабский			Unty	avar1256	#009999	#009999	2025-03-20
364	Untsukul	Унцукуль	42.7131	46.7875	Avar	Avar-Andic	East Caucasian		Avar	Baqluq-Northern Avar	Батлухско-северное	Northern Avar	северноаварский	Khunzaq	хунзахский			Untsukul	avar1256	#009999	#009999	2025-03-20
365	Urada	Урада	42.3822	46.5617	Avar	Avar-Andic	East Caucasian		Avar	Hid-Qeleb	Гидское	Hid	собственно гидский	Urada	урадинский			Urada	avar1256	#009999	#009999	2025-03-20
366	Uradakolob	Урадаколоб	42.389247	46.538713	Avar	Avar-Andic	East Caucasian		Avar	Hid-Qeleb	Гидское	Hid	собственно гидский					Uradakolob	avar1256	#009999	#009999	2025-03-20
367	Urala	Урала	42.423609	46.806499	Avar	Avar-Andic	East Caucasian		Avar	Kuyada-Salta	Куяда-салтинское	Kuyada	куядинский					Urala	avar1256	#009999	#009999	2025-03-20
